game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_home_streak,home_away_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_home_streak,visitor_away_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent,home_last_10,visitor_last_10,home_wins_percent,visitor_wins_percent,wins_percent_diff,offensive_rating_diff,defensive_rating_diff,net_rating_diff,home_estimated_points,visitor_estimated_points,estimated_point_diff,ts_percent_diff,turnover_percent_diff,assist_percent_diff,steal_percent_diff,rebound_percent_diff,home_streak_extreme,visitor_streak_extreme,streak_extreme_diff,streak_diff,home_quality,visitor_quality,home_much_better,visitor_much_better,teams_evenly_matched,target
202410220BOS,2024-10-22 11:30:00+00:00,BOS,NYK,3,W,2,2,0,147.3,121.6,67.0,68.8,6.7,54.1,3.9,3,L,2,2,0,121.6,147.3,64.1,46.5,2.2,45.9,12.4,0-0,0-0,0.0,0.0,0.0,25.700000000000017,25.700000000000017,51.400000000000034,147.3,121.6,25.700000000000017,2.9000000000000057,8.5,22.299999999999997,4.5,8.200000000000003,0,0,0,0,Muy Débil,Muy Débil,0,0,1,1
202410220LAL,2024-10-22 14:00:00+00:00,LAL,MIN,3,W,2,0,2,114.7,107.4,51.9,52.4,7.3,49.5,6.2,3,L,-1,-1,0,107.4,114.7,53.2,48.6,4.2,50.5,14.2,0-0,0-0,0.0,0.0,0.0,7.299999999999997,7.299999999999997,14.599999999999994,114.7,107.4,7.299999999999997,-1.3000000000000043,7.999999999999999,3.799999999999997,3.0999999999999996,-1.0,0,0,0,3,Muy Débil,Muy Débil,0,0,1,1
202410230DET,2024-10-23 11:00:00+00:00,DET,IND,3,L,-1,0,-1,110.5,116.6,54.300000000000004,57.9,6.1,49.4,12.2,3,W,1,1,-1,116.6,110.5,61.199999999999996,76.2,10.1,50.6,13.8,0-0,0-0,0.0,0.0,0.0,-6.099999999999994,-6.099999999999994,-12.199999999999989,110.5,116.6,-6.099999999999994,-6.8999999999999915,1.6000000000000014,-18.300000000000004,-4.0,-1.2000000000000028,0,0,0,-2,Muy Débil,Muy Débil,0,0,1,0
202410230ATL,2024-10-23 11:30:00+00:00,ATL,BKN,1,W,0,0,0,115.6,111.8,59.9,64.1,11.6,51.1,13.8,3,L,-2,0,-2,111.8,115.6,56.89999999999999,52.5,7.7,48.9,15.7,0-0,0-0,0.0,0.0,0.0,3.799999999999997,3.799999999999997,7.599999999999994,115.6,111.8,3.799999999999997,3.000000000000007,1.8999999999999986,11.599999999999994,3.8999999999999995,2.200000000000003,0,0,0,2,Muy Débil,Muy Débil,0,0,1,1
202410230TOR,2024-10-23 11:30:00+00:00,TOR,CLE,3,L,-2,0,-2,106.2,136.3,53.7,69.4,8.0,51.4,16.1,3,W,-1,-1,0,136.3,106.2,69.1,56.9,10.0,48.6,11.7,0-0,0-0,0.0,0.0,0.0,-30.10000000000001,-30.10000000000001,-60.20000000000002,106.2,136.3,-30.10000000000001,-15.399999999999991,-4.400000000000002,12.500000000000007,-2.0,2.799999999999997,0,0,0,-1,Muy Débil,Muy Débil,0,0,1,0
202410230PHI,2024-10-23 11:30:00+00:00,PHI,MIL,3,L,2,2,0,109.9,125.0,49.6,43.9,4.0,51.6,8.3,2,W,-1,0,-1,125.0,109.9,66.2,62.8,4.0,48.4,13.0,0-0,0-0,0.0,0.0,0.0,-15.099999999999994,-15.099999999999994,-30.19999999999999,109.9,125.0,-15.099999999999994,-16.6,4.699999999999999,-18.9,0.0,3.200000000000003,0,0,0,3,Muy Débil,Muy Débil,0,0,1,0
202410230MIA,2024-10-23 11:30:00+00:00,MIA,ORL,1,L,0,0,0,100.9,120.7,51.2,75.0,5.2,41.8,10.4,2,W,1,1,0,120.7,100.9,54.900000000000006,68.3,8.3,58.2,11.7,0-0,0-0,0.0,0.0,0.0,-19.799999999999997,-19.799999999999997,-39.599999999999994,100.9,120.7,-19.799999999999997,-3.700000000000003,1.299999999999999,6.700000000000003,-3.1000000000000005,-16.400000000000006,0,0,0,-1,Muy Débil,Muy Débil,0,0,1,0
202410230NOP,2024-10-23 12:00:00+00:00,NOP,CHI,3,W,1,1,0,113.8,102.7,57.9,64.4,13.9,47.2,10.1,2,L,-1,0,-1,102.7,113.8,57.199999999999996,61.9,3.7,52.8,17.8,0-0,0-0,0.0,0.0,0.0,11.099999999999994,11.099999999999994,22.19999999999999,113.8,102.7,11.099999999999994,0.7000000000000028,7.700000000000001,2.500000000000007,10.2,-5.599999999999994,0,0,0,2,Muy Débil,Muy Débil,0,0,1,1
202410230HOU,2024-10-23 12:00:00+00:00,HOU,CHA,3,L,2,0,2,108.7,113.9,47.0,50.0,8.3,43.4,6.7,3,W,1,0,1,113.9,108.7,57.599999999999994,52.6,6.2,56.6,15.1,0-0,0-0,0.0,0.0,0.0,-5.200000000000003,-5.200000000000003,-10.400000000000006,108.7,113.9,-5.200000000000003,-10.599999999999994,8.399999999999999,-2.6000000000000014,2.1000000000000005,-13.200000000000003,0,0,0,1,Muy Débil,Muy Débil,0,0,1,0
202410230UTA,2024-10-23 13:00:00+00:00,UTA,MEM,3,L,-1,0,-1,119.9,121.8,59.199999999999996,52.5,6.8,54.4,14.0,1,W,0,0,0,121.8,119.9,60.0,65.1,6.8,45.6,11.0,0-0,0-0,0.0,0.0,0.0,-1.8999999999999915,-1.8999999999999915,-3.799999999999983,119.9,121.8,-1.8999999999999915,-0.8000000000000043,-3.0,-12.599999999999994,0.0,8.799999999999997,0,0,0,-1,Muy Débil,Muy Débil,0,0,1,0
