game_id,team_file,team_json,game_number,date,oRtg,dRtg,tsPercent,fTr,orbPercent,drbPercent,trbPercent,astPercent,stlPercent,blkPercent,tovPercent,net_rating,win_game,loss_game,team,W,L,W_percent
202410230ATL,ATL_2024-25,ATL,1,2024-10-23T11:30:00Z,115.6,111.8,0.599,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,3.799999999999997,1,0,ATL,1,0,100
202410250ATL,ATL_2024-25,ATL,2,2024-10-25T11:30:00Z,123.4,118.5,0.64,0.469,18.4,59.3,42.4,64.1,10.9,20.0,12.5,4.900000000000006,1,0,ATL,2,0,100
202410270OKC,ATL_2024-25,ATL,3,2024-10-27T11:00:00Z,102.7,126.4,0.501,0.319,33.3,74.4,52.1,66.7,6.9,8.2,16.2,-23.700000000000003,0,1,ATL,2,1,66
202410280ATL,ATL_2024-25,ATL,4,2024-10-28T11:30:00Z,112.8,114.7,0.614,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,-1.9000000000000057,0,1,ATL,2,2,50
202410300WAS,ATL_2024-25,ATL,5,2024-10-30T11:00:00Z,112.8,125.0,0.576,0.221,27.9,82.9,52.6,62.2,9.4,5.9,14.0,-12.200000000000003,0,1,ATL,2,3,40
202411010ATL,ATL_2024-25,ATL,6,2024-11-01T11:30:00Z,111.3,119.1,0.575,0.196,16.3,76.2,44.0,73.2,7.7,7.1,11.5,-7.799999999999997,0,1,ATL,2,4,33
202411030NOP,ATL_2024-25,ATL,7,2024-11-03T12:00:00Z,130.5,114.9,0.675,0.136,28.6,63.3,48.8,58.0,10.4,5.8,14.6,15.599999999999994,1,0,ATL,3,4,42
202411040ATL,ATL_2024-25,ATL,8,2024-11-04T12:45:00Z,88.5,117.1,0.484,0.18,17.0,76.1,46.2,62.2,8.6,6.8,17.2,-28.599999999999994,0,1,ATL,3,5,37
202411060ATL,ATL_2024-25,ATL,9,2024-11-06T12:30:00Z,123.7,118.5,0.552,0.22,32.0,82.1,53.9,68.9,12.3,10.8,6.8,5.200000000000003,1,0,ATL,4,5,44
202411080DET,ATL_2024-25,ATL,10,2024-11-08T12:00:00Z,113.1,114.1,0.565,0.237,30.6,72.5,49.4,68.2,11.2,13.2,14.4,-1.0,0,1,ATL,4,6,40
202411090ATL,ATL_2024-25,ATL,11,2024-11-09T12:30:00Z,109.0,120.6,0.553,0.337,22.7,69.0,45.3,75.6,7.7,9.4,12.0,-11.599999999999994,0,1,ATL,4,7,36
202411120BOS,ATL_2024-25,ATL,12,2024-11-12T12:00:00Z,118.7,117.7,0.559,0.131,40.4,80.6,56.4,70.0,16.2,6.7,13.3,1.0,1,0,ATL,5,7,41
202411150ATL,ATL_2024-25,ATL,13,2024-11-15T12:30:00Z,115.0,104.3,0.58,0.306,27.8,75.5,51.4,60.9,8.9,15.9,12.6,10.700000000000003,1,0,ATL,6,7,46
202411170POR,ATL_2024-25,ATL,14,2024-11-17T11:00:00Z,107.9,111.9,0.573,0.294,42.1,63.3,54.0,76.9,9.8,12.3,22.0,-4.0,0,1,ATL,6,8,42
