game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202410230ATL,BKN,W,1W,115.6,111.8,0.599,64.1,11.6,51.1,13.8
2,202410250ATL,CHA,W,2W,123.4,118.5,0.64,64.1,10.9,42.4,12.5
3,202410270OKC,OKC,L,1L,119.5,115.15,0.619,64.1,11.2,46.8,13.2
4,202410280ATL,WAS,L,2L,113.9,118.9,0.58,65.0,9.8,48.5,14.2
5,202410300WAS,WAS,L,3L,113.62,117.85,0.589,69.2,10.2,48.3,14.2
6,202411010ATL,SAC,L,4L,113.46,119.28,0.586,67.8,10.0,49.2,14.1
7,202411030NOP,NOP,W,1W,113.1,119.25,0.584,68.7,9.7,48.3,13.7
8,202411040ATL,BOS,L,1L,115.59,118.63,0.597,67.2,9.8,48.4,13.8
9,202411060ATL,NYK,W,1W,112.2,118.44,0.583,66.6,9.6,48.1,14.2
10,202411080DET,DET,L,1L,113.48,118.44,0.58,66.8,9.9,48.7,13.4
11,202411090ATL,CHI,L,2L,113.44,118.01,0.578,67.0,10.0,48.8,13.5
12,202411120BOS,BOS,W,1W,113.04,118.25,0.576,67.8,9.8,48.5,13.4
13,202411150ATL,WAS,W,2W,113.51,118.2,0.574,67.9,10.4,49.1,13.4
14,202411170POR,POR,L,1L,113.62,117.13,0.575,67.4,10.2,49.3,13.3
15,202411180SAC,SAC,W,1W,113.21,116.76,0.575,68.1,10.2,49.7,13.9
16,202411200GSW,GSW,L,1L,113.1,116.34,0.576,69.4,10.0,49.4,13.9
17,202411220CHI,CHI,L,2L,111.51,115.85,0.567,69.8,9.9,49.7,13.8
18,202411250ATL,DAL,L,3L,111.61,116.45,0.564,69.6,9.9,49.7,13.5
19,202411270CLE,CLE,W,1W,111.44,116.52,0.564,69.4,9.9,49.4,13.4
20,202411290ATL,CLE,W,2W,112.3,116.56,0.567,70.2,9.6,49.6,13.3
21,202411300CHO,CHA,W,3W,112.45,115.72,0.57,70.5,9.6,50.0,13.6
22,202412020ATL,NOP,W,4W,112.42,115.38,0.571,70.5,9.6,50.1,13.9
23,202412040MIL,MIL,W,5W,112.6,114.9,0.572,70.1,9.6,50.3,13.9
24,202412060ATL,LAL,W,6W,112.7,114.27,0.57,69.8,9.9,50.6,13.8
25,202412080ATL,DEN,L,1L,112.94,114.38,0.572,70.2,9.8,50.8,13.8
26,202412110NYK,NYK,W,1W,112.6,115.11,0.569,70.0,9.9,50.8,13.6
27,202412140MIL,MIL,L,1L,112.45,114.56,0.565,69.7,9.7,50.9,13.4
28,202412190SAS,SAS,L,2L,111.99,114.31,0.564,69.5,9.5,50.8,13.4
29,202412210ATL,MEM,L,3L,111.87,114.31,0.565,69.5,9.6,51.0,13.5
30,202412230ATL,MIN,W,1W,111.54,114.41,0.567,69.7,9.6,51.0,13.8
31,202412260ATL,CHI,W,2W,111.76,114.09,0.571,69.7,9.8,50.9,14.1
32,202412280ATL,MIA,W,3W,112.52,114.53,0.575,69.7,9.7,51.0,14.0
33,202412290TOR,TOR,W,4W,112.84,114.47,0.576,69.9,9.6,51.1,13.9
34,202501010DEN,DEN,L,1L,113.21,113.98,0.577,69.8,10.0,50.8,13.9
35,202501030LAL,LAL,L,2L,113.1,114.36,0.577,70.0,9.9,50.8,13.8
36,202501040LAC,LAC,L,3L,112.82,114.54,0.574,69.5,9.9,50.5,13.6
37,202501070UTA,UTA,W,1W,112.32,114.65,0.573,69.8,9.9,50.5,13.8
38,202501090PHO,PHX,L,1L,112.56,114.75,0.573,69.9,9.8,50.4,13.6
39,202501140ATL,PHX,W,1W,112.82,115.17,0.575,70.1,9.9,50.2,13.5
40,202501150CHI,CHI,W,2W,113.05,115.21,0.574,69.6,9.9,50.4,13.5
41,202501180BOS,BOS,W,3W,112.87,114.59,0.572,69.5,9.9,50.4,13.4
42,202501200NYK,NYK,L,1L,112.81,114.4,0.572,69.3,9.9,50.4,13.4
43,202501220ATL,DET,L,2L,112.75,114.52,0.572,69.1,9.9,50.4,13.6
44,202501230ATL,TOR,L,3L,112.39,114.33,0.57,68.9,9.9,50.4,13.5
45,202501250ATL,TOR,L,4L,112.44,114.4,0.57,69.0,10.0,50.3,13.5
46,202501270MIN,MIN,L,5L,111.84,114.22,0.568,69.3,10.0,50.2,13.6
47,202501280ATL,HOU,L,6L,111.4,113.91,0.567,69.4,10.0,50.2,13.8
48,202501300CLE,CLE,L,7L,111.04,113.58,0.565,69.0,10.0,50.2,13.8
49,202502010IND,IND,L,8L,111.12,114.06,0.565,69.0,10.0,50.0,13.7
50,202502030DET,DET,W,1W,111.34,114.32,0.566,69.0,9.9,50.0,13.7
51,202502050ATL,SAS,L,1L,111.66,114.55,0.568,68.9,9.9,50.0,13.6
52,202502070ATL,MIL,W,1W,111.77,114.61,0.57,68.9,9.8,50.0,13.7
53,202502080WAS,WAS,W,2W,111.83,114.53,0.57,68.8,9.7,50.1,13.6
54,202502100ORL,ORL,W,3W,111.97,114.36,0.57,69.0,9.6,50.0,13.6
55,202502120NYK,NYK,L,1L,112.02,114.25,0.571,69.1,9.7,50.0,13.6
56,202502200ATL,ORL,L,2L,112.29,114.5,0.572,69.3,9.7,50.1,13.5
57,202502230ATL,DET,L,3L,112.22,114.5,0.57,69.0,9.6,50.1,13.4
58,202502240ATL,MIA,W,1W,112.46,114.77,0.571,68.8,9.6,50.1,13.4
59,202502260MIA,MIA,L,1L,112.29,114.34,0.57,68.9,9.6,50.2,13.4
60,202502280ATL,OKC,L,2L,112.34,114.76,0.571,68.9,9.6,50.1,13.5
61,202503030MEM,MEM,W,1W,112.34,114.97,0.572,68.8,9.6,50.2,13.5
62,202503040ATL,MIL,L,1L,112.68,115.23,0.573,68.7,9.6,50.0,13.5
63,202503060ATL,IND,W,1W,112.65,115.25,0.573,68.8,9.6,50.0,13.4
64,202503080ATL,IND,W,2W,112.88,115.34,0.573,68.7,9.5,50.0,13.3
65,202503100ATL,PHI,W,3W,112.95,115.34,0.573,68.4,9.5,50.1,13.3
66,202503120ATL,CHA,W,4W,113.2,115.42,0.574,68.4,9.4,50.2,13.3
67,202503140ATL,LAC,L,1L,113.29,115.28,0.574,68.4,9.5,50.2,13.3
68,202503160BRK,BKN,L,2L,113.08,115.39,0.573,68.4,9.5,50.2,13.3
69,202503180CHO,CHA,W,1W,113.08,115.48,0.573,68.3,9.5,50.2,13.3
70,202503220ATL,GSW,W,2W,113.43,115.31,0.574,68.1,9.5,50.3,13.3
71,202503230ATL,PHI,W,3W,113.6,115.33,0.576,68.2,9.5,50.3,13.3
72,202503250HOU,HOU,L,1L,113.84,115.36,0.577,68.3,9.5,50.4,13.3
73,202503270MIA,MIA,L,2L,113.82,115.42,0.576,68.4,9.5,50.3,13.3
74,202503300MIL,MIL,W,1W,113.85,115.58,0.577,68.3,9.5,50.3,13.3
75,202504010ATL,POR,L,1L,114.21,115.63,0.578,68.4,9.5,50.4,13.2
76,202504020DAL,DAL,L,2L,114.07,115.64,0.578,68.3,9.5,50.3,13.3
77,202504050ATL,NYK,L,3L,114.09,115.67,0.578,68.3,9.5,50.3,13.2
78,202504060ATL,UTA,W,1W,114.0,115.78,0.577,68.2,9.5,50.3,13.2
79,202504080ORL,ORL,L,1L,114.41,116.0,0.579,68.3,9.5,50.4,13.2
80,202504100BRK,BKN,W,1W,114.42,116.08,0.579,68.2,9.4,50.3,13.2
81,202504110PHI,PHI,W,2W,114.56,115.91,0.58,68.3,9.4,50.4,13.2
82,202504130ATL,ORL,W,3W,114.67,115.83,0.58,68.3,9.4,50.5,13.2
83,202504150ORL,ORL,L,1L,114.74,115.74,0.581,68.2,9.4,50.5,13.2
84,202504180ATL,MIA,L,2L,114.54,115.83,0.58,68.3,9.4,50.4,13.2
