game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120NYK,NYK,L,1L,,,,,,,
2,202404140PHI,PHI,L,2L,,,,,,,
3,202410230ATL,ATL,L,3L,111.8,115.6,0.569,52.5,7.7,48.9,15.7
4,202410250ORL,ORL,L,4L,111.8,115.6,0.569,52.5,7.7,48.9,15.7
5,202410270BRK,MIL,W,1W,107.4,116.95,0.558,57.7,7.4,48.8,16.4
6,202410290BRK,DEN,L,1L,110.83,112.77,0.562,58.1,8.0,49.9,14.5
7,202410300MEM,MEM,W,1W,116.15,118.8,0.582,62.5,6.9,49.6,12.8
8,202411010BRK,CHI,W,2W,116.8,116.32,0.597,63.2,7.6,49.2,13.7
9,202411030BRK,DET,L,1L,117.1,115.38,0.598,64.2,8.1,49.5,13.1
10,202411040BRK,MEM,W,1W,114.23,114.86,0.59,65.3,8.3,47.6,13.2
11,202411080BOS,BOS,L,1L,114.22,114.5,0.588,65.9,8.2,47.4,13.2
12,202411090CLE,CLE,L,2L,112.62,113.29,0.577,65.1,7.9,48.4,13.0
13,202411110NOP,NOP,W,1W,112.2,113.35,0.579,64.7,7.6,48.8,13.6
14,202411130BRK,BOS,L,1L,112.49,113.34,0.579,64.9,7.3,49.0,13.8
15,202411150NYK,NYK,L,2L,112.93,115.87,0.585,64.9,7.0,48.5,13.7
16,202411170NYK,NYK,L,3L,113.85,116.72,0.587,65.3,7.1,48.2,13.3
17,202411190BRK,CHA,W,1W,113.95,117.41,0.586,67.5,6.7,47.8,13.0
18,202411220PHI,PHI,L,1L,114.31,117.47,0.589,67.9,6.8,47.6,13.0
19,202411240SAC,SAC,W,1W,113.83,117.81,0.589,68.2,6.4,47.5,13.4
20,202411250GSW,GSW,W,2W,114.0,117.43,0.591,68.1,6.5,47.1,13.4
21,202411270PHO,PHX,W,3W,114.8,117.59,0.596,67.4,6.5,47.3,13.3
22,202411290BRK,ORL,L,1L,115.36,117.48,0.599,67.7,6.5,47.4,13.2
23,202412010BRK,ORL,L,2L,114.75,117.95,0.599,67.2,6.5,47.3,13.5
24,202412020CHI,CHI,L,3L,113.83,117.27,0.594,67.0,6.7,46.9,13.6
25,202412040BRK,IND,W,1W,113.14,117.57,0.59,66.8,6.8,46.8,13.5
26,202412080BRK,MIL,L,1L,112.68,116.51,0.588,66.9,7.0,47.0,13.6
27,202412130MEM,MEM,L,2L,113.08,116.97,0.59,66.6,7.1,47.1,13.6
28,202412160BRK,CLE,L,3L,112.98,117.31,0.59,66.8,7.2,47.0,13.7
29,202412190TOR,TOR,W,1W,112.56,117.86,0.589,67.0,7.3,47.0,13.9
30,202412210BRK,UTA,L,1L,112.47,117.29,0.586,66.6,7.2,47.5,13.9
31,202412230MIA,MIA,L,2L,111.83,116.88,0.582,66.4,7.2,47.7,14.0
32,202412260MIL,MIL,W,1W,111.46,116.88,0.58,66.6,7.3,47.7,14.0
33,202412270BRK,SAS,L,1L,111.4,116.44,0.581,66.5,7.3,47.8,14.1
34,202412290ORL,ORL,L,2L,110.81,116.0,0.577,66.4,7.4,47.9,14.2
35,202501010TOR,TOR,L,3L,110.88,115.95,0.578,66.4,7.4,47.9,14.3
36,202501020MIL,MIL,W,1W,110.98,116.41,0.578,66.4,7.4,47.8,14.2
37,202501040BRK,PHI,L,1L,111.06,116.25,0.578,66.5,7.4,47.9,14.2
