game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120BOS,CHA,W,1W,,,,,,,
2,202404140BOS,WAS,W,2W,,,,,,,
3,202410220BOS,NYK,W,3W,147.3,121.6,0.67,68.8,6.7,54.1,3.9
4,202410240WAS,WAS,W,4W,147.3,121.6,0.67,68.8,6.7,54.1,3.9
5,202410260DET,DET,W,5W,133.15,110.55,0.635,59.4,6.8,54.6,8.0
6,202410280BOS,MIL,W,6W,131.03,113.93,0.623,56.3,7.9,51.6,8.3
7,202410300IND,IND,L,1L,127.15,111.67,0.623,56.1,7.2,50.5,9.4
8,202411010CHO,CHA,W,1W,124.88,113.04,0.606,55.4,7.7,49.8,9.6
9,202411020CHO,CHA,W,2W,125.38,112.93,0.607,54.7,8.4,49.7,9.5
10,202411040ATL,ATL,W,3W,123.97,111.84,0.606,56.0,7.8,50.7,10.1
11,202411060BOS,GSW,L,1L,123.11,108.92,0.604,56.0,8.6,51.1,10.2
12,202411080BOS,BKN,W,1W,122.41,110.5,0.599,56.2,8.3,50.6,10.3
13,202411100MIL,MIL,W,2W,120.53,109.43,0.594,56.5,8.1,49.9,10.4
14,202411120BOS,ATL,L,1L,120.08,109.44,0.593,58.4,7.8,50.0,10.4
15,202411130BRK,BKN,W,1W,119.88,110.21,0.599,59.7,7.8,49.4,11.1
16,202411160BOS,TOR,W,2W,121.72,110.79,0.604,60.5,7.7,50.0,10.8
17,202411190BOS,CLE,W,3W,122.26,111.9,0.603,61.0,7.3,49.8,10.6
18,202411220WAS,WAS,W,4W,122.65,112.77,0.606,61.8,7.1,49.9,10.7
19,202411240BOS,MIN,W,5W,121.65,111.64,0.603,61.8,7.4,49.7,10.7
20,202411250BOS,LAC,W,6W,121.44,111.89,0.601,62.1,7.2,49.4,10.5
21,202411290CHI,CHI,W,7W,121.83,111.0,0.604,62.7,7.4,49.6,10.5
22,202412010CLE,CLE,L,1L,122.45,111.74,0.605,62.0,7.3,49.8,10.3
23,202412020BOS,MIA,W,1W,121.81,111.83,0.602,61.1,7.5,49.9,10.3
24,202412040BOS,DET,W,2W,121.47,111.0,0.6,61.3,7.4,50.1,10.5
25,202412060BOS,MIL,W,3W,121.79,111.34,0.601,61.5,7.6,50.4,10.7
26,202412070BOS,MEM,L,1L,121.67,111.4,0.601,61.8,7.5,50.1,10.5
27,202412120BOS,DET,W,1W,121.28,111.66,0.597,61.8,7.4,50.1,10.4
28,202412150WAS,WAS,W,2W,121.35,111.16,0.599,62.3,7.3,50.3,10.5
29,202412190BOS,CHI,L,1L,120.95,110.62,0.597,62.4,7.5,50.4,10.7
30,202412210CHI,CHI,W,1W,120.56,110.95,0.594,62.1,7.4,50.1,10.4
31,202412230ORL,ORL,L,1L,120.61,110.46,0.593,61.9,7.4,50.4,10.4
32,202412250BOS,PHI,L,2L,119.92,110.24,0.591,61.0,7.6,50.4,10.6
33,202412270BOS,IND,W,1W,119.85,110.63,0.59,60.8,7.5,50.6,10.7
34,202412290BOS,IND,L,1L,120.77,110.61,0.593,61.0,7.5,50.8,10.6
35,202412310BOS,TOR,W,1W,120.64,111.08,0.592,61.0,7.5,50.6,10.5
36,202501020MIN,MIN,W,2W,121.0,110.0,0.595,61.0,7.7,50.7,10.5
37,202501030HOU,HOU,W,3W,121.49,110.71,0.595,61.1,7.8,50.5,10.4
38,202501050OKC,OKC,L,1L,121.65,110.41,0.597,60.8,7.8,50.5,10.5
39,202501070DEN,DEN,W,1W,120.9,110.35,0.594,60.7,7.7,50.5,10.6
40,202501100BOS,SAC,L,1L,121.03,110.42,0.594,60.9,7.8,50.6,10.6
41,202501120BOS,NOP,W,1W,120.44,110.56,0.592,61.0,7.8,50.4,10.7
42,202501150TOR,TOR,L,1L,120.41,110.75,0.591,60.7,7.7,50.5,10.6
43,202501170BOS,ORL,W,1W,120.0,110.94,0.588,60.9,7.7,50.4,10.6
44,202501180BOS,ATL,L,1L,120.39,110.81,0.59,60.9,7.6,50.4,10.6
45,202501200GSW,GSW,W,1W,120.06,110.8,0.588,60.8,7.7,50.4,10.6
46,202501220LAC,LAC,W,2W,120.32,110.29,0.59,60.9,7.8,50.6,10.6
47,202501230LAL,LAL,L,1L,120.09,110.21,0.59,60.9,7.8,50.4,10.7
48,202501250DAL,DAL,W,1W,119.7,110.53,0.587,61.0,7.8,50.3,10.6
49,202501270BOS,HOU,L,1L,119.84,110.54,0.587,61.3,7.7,50.3,10.5
50,202501290BOS,CHI,W,1W,119.83,110.76,0.588,61.1,7.6,50.3,10.5
51,202501310NOP,NOP,W,2W,119.88,110.54,0.588,61.5,7.6,50.3,10.5
52,202502020PHI,PHI,W,3W,119.75,110.57,0.589,61.8,7.7,50.1,10.5
53,202502040CLE,CLE,W,4W,119.87,110.7,0.59,62.2,7.6,50.0,10.5
54,202502060BOS,DAL,L,1L,119.74,110.61,0.589,62.2,7.7,50.0,10.5
55,202502080NYK,NYK,W,1W,119.83,111.01,0.589,62.3,7.6,50.1,10.5
56,202502100MIA,MIA,W,2W,120.2,111.01,0.591,62.0,7.5,50.3,10.5
57,202502120BOS,SAS,W,3W,120.08,110.69,0.591,62.0,7.5,50.3,10.5
58,202502200PHI,PHI,W,4W,120.04,110.58,0.591,61.9,7.4,50.5,10.6
59,202502230BOS,NYK,W,5W,120.2,110.54,0.592,62.2,7.3,50.5,10.6
60,202502250TOR,TOR,W,6W,120.24,110.51,0.592,62.1,7.3,50.6,10.6
61,202502260DET,DET,L,1L,120.18,110.43,0.592,62.0,7.4,50.6,10.6
62,202502280BOS,CLE,L,2L,119.86,110.64,0.592,62.0,7.4,50.4,10.7
63,202503020BOS,DEN,W,1W,119.98,111.05,0.592,61.8,7.4,50.3,10.7
64,202503050BOS,POR,W,2W,119.96,111.04,0.592,61.9,7.4,50.4,10.8
65,202503060BOS,PHI,W,3W,120.21,111.26,0.592,61.8,7.3,50.5,10.7
66,202503080BOS,LAL,W,4W,120.43,111.32,0.593,61.9,7.4,50.5,10.7
67,202503100BOS,UTA,W,5W,120.39,111.26,0.593,61.9,7.4,50.5,10.7
68,202503120BOS,OKC,L,1L,120.38,111.29,0.592,62.0,7.5,50.5,10.7
69,202503140MIA,MIA,W,1W,120.36,111.5,0.592,62.0,7.5,50.4,10.7
70,202503150BRK,BKN,W,2W,120.23,111.31,0.592,61.8,7.5,50.5,10.7
71,202503180BOS,BKN,W,3W,120.47,111.65,0.592,61.9,7.5,50.4,10.7
