game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120BOS,BOS,L,1L,,,,,,,
2,202404140CLE,CLE,W,1W,,,,,,,
3,202410230HOU,HOU,W,2W,113.9,108.7,0.576,52.6,6.2,56.6,15.1
4,202410250ATL,ATL,L,1L,113.9,108.7,0.576,52.6,6.2,56.6,15.1
5,202410260CHO,MIA,L,2L,116.2,116.05,0.561,56.0,6.6,57.1,14.6
6,202410300CHO,TOR,W,1W,113.47,116.1,0.554,54.5,6.4,55.3,15.4
7,202411010CHO,BOS,L,1L,118.55,119.3,0.58,56.7,7.0,53.5,14.8
8,202411020CHO,BOS,L,2L,117.32,121.02,0.577,54.9,6.6,52.9,14.7
9,202411040MIN,MIN,L,3L,115.32,120.1,0.571,55.7,7.2,51.4,14.3
10,202411060CHO,DET,W,1W,112.73,119.97,0.559,55.5,7.7,50.6,14.1
11,202411080CHO,IND,W,2W,112.06,118.28,0.559,55.6,7.3,50.6,13.7
12,202411100PHI,PHI,L,1L,111.78,114.94,0.557,56.2,7.2,51.6,13.7
13,202411120ORL,ORL,L,2L,110.57,113.61,0.551,56.7,7.5,52.0,14.0
14,202411160CHO,MIL,W,1W,108.44,113.43,0.546,57.4,7.4,52.1,14.5
15,202411170CLE,CLE,L,1L,109.5,113.99,0.548,57.7,7.4,52.5,14.0
16,202411190BRK,BKN,L,2L,110.02,115.25,0.546,59.5,7.8,52.0,13.6
17,202411210CHO,DET,W,1W,110.61,115.54,0.552,59.9,7.7,52.2,14.1
18,202411230MIL,MIL,L,1L,111.09,115.57,0.555,59.4,7.9,51.6,14.0
19,202411250CHO,ORL,L,2L,111.42,115.99,0.554,59.1,7.8,51.4,13.7
20,202411270CHO,MIA,L,3L,110.14,115.13,0.551,58.3,7.7,51.7,14.3
21,202411290CHO,NYK,L,4L,109.41,114.35,0.547,58.3,7.9,51.6,14.1
22,202411300CHO,ATL,L,5L,109.18,113.91,0.545,58.9,7.9,51.4,14.1
