game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404190MIA,MIA,L,1L,,,,,,,
2,202410230NOP,NOP,L,2L,102.7,113.8,0.572,61.9,3.7,52.8,17.8
3,202410250MIL,MIL,W,1W,102.7,113.8,0.572,61.9,3.7,52.8,17.8
4,202410260CHI,OKC,L,1L,113.45,113.85,0.599,63.5,6.5,51.1,13.2
5,202410280MEM,MEM,W,1W,103.27,109.07,0.555,66.3,6.1,51.8,15.6
6,202410300CHI,ORL,W,2W,107.53,111.15,0.563,69.8,5.8,50.2,13.6
7,202411010BRK,BKN,L,1L,106.6,108.88,0.558,68.6,5.8,51.4,13.6
8,202411040CHI,UTA,L,2L,107.28,110.5,0.559,67.7,5.7,51.0,13.7
9,202411060DAL,DAL,L,3L,109.71,113.74,0.564,69.4,5.8,49.8,12.8
10,202411070CHI,MIN,L,4L,107.78,113.69,0.558,69.4,6.1,50.0,13.7
11,202411090ATL,ATL,W,1W,109.31,116.38,0.566,68.8,6.4,49.4,13.5
12,202411110CHI,CLE,L,1L,110.44,115.64,0.571,68.5,6.9,50.0,13.6
13,202411130NYK,NYK,W,1W,110.29,115.55,0.573,67.7,6.9,50.3,14.1
14,202411150CLE,CLE,L,1L,111.04,115.78,0.581,68.0,7.1,50.3,14.2
15,202411170CHI,HOU,L,2L,111.3,116.93,0.586,68.2,7.1,50.1,14.3
16,202411180DET,DET,W,1W,110.03,117.51,0.577,68.5,7.1,49.5,14.1
17,202411200MIL,MIL,L,1L,111.17,117.46,0.58,68.2,6.8,49.4,13.8
18,202411220CHI,ATL,W,1W,111.1,118.03,0.581,67.7,6.8,49.0,13.8
19,202411230CHI,MEM,L,1L,111.98,117.75,0.588,68.1,6.9,49.0,13.9
20,202411260WAS,WAS,W,1W,112.78,118.81,0.59,67.6,6.7,48.6,13.7
21,202411270ORL,ORL,L,1L,113.02,117.81,0.591,67.3,6.6,48.9,13.5
22,202411290CHI,BOS,L,2L,113.06,118.29,0.593,67.2,6.7,48.9,13.6
23,202412020CHI,BKN,W,1W,113.63,119.02,0.596,66.7,6.7,48.7,13.3
24,202412050SAS,SAS,W,2W,114.1,118.1,0.598,66.8,6.8,49.1,13.4
25,202412060CHI,IND,L,1L,114.82,118.04,0.602,66.9,6.7,49.3,13.5
26,202412080CHI,PHI,L,2L,115.01,118.45,0.602,67.1,6.8,49.2,13.4
27,202412130CHI,CHA,W,1W,114.31,117.93,0.6,67.8,6.9,48.7,13.4
28,202412160TOR,TOR,W,2W,114.0,116.96,0.597,68.0,7.0,48.8,13.4
29,202412190BOS,BOS,W,3W,113.96,116.77,0.596,68.3,7.2,48.7,13.3
30,202412210CHI,BOS,L,1L,114.16,116.54,0.596,67.8,7.0,49.0,13.2
31,202412230CHI,MIL,L,2L,113.58,116.73,0.591,68.1,7.0,48.7,13.1
32,202412260ATL,ATL,L,3L,112.85,116.6,0.588,68.3,7.1,48.7,13.1
33,202412280CHI,MIL,W,1W,113.33,117.21,0.59,68.3,7.1,48.6,13.1
34,202412300CHO,CHA,W,2W,113.27,116.88,0.589,68.4,7.0,48.8,13.0
35,202501010WAS,WAS,L,1L,112.91,116.22,0.586,68.8,7.1,48.9,13.0
36,202501040CHI,NYK,W,1W,112.47,116.17,0.585,68.8,7.2,49.0,13.1
37,202501060CHI,SAS,W,2W,113.1,116.33,0.588,68.8,7.2,48.9,13.1
38,202501080IND,IND,L,1L,113.04,116.08,0.586,68.5,7.3,48.9,13.0
39,202501100CHI,WAS,W,1W,112.94,116.32,0.587,68.0,7.2,48.8,13.1
40,202501120CHI,SAC,L,1L,113.44,115.9,0.589,68.2,7.3,49.0,13.1
41,202501140CHI,NOP,L,2L,113.59,116.11,0.589,68.0,7.2,48.9,12.9
42,202501150CHI,ATL,L,3L,113.54,116.15,0.587,68.0,7.3,49.1,12.9
43,202501170CHI,CHA,L,4L,112.98,115.9,0.586,67.8,7.2,49.1,13.0
44,202501190POR,POR,L,5L,113.19,116.09,0.586,67.9,7.2,49.2,13.0
45,202501200LAC,LAC,W,1W,112.95,116.03,0.585,67.6,7.3,49.0,13.0
46,202501230GSW,GSW,L,1L,113.02,115.73,0.584,67.6,7.3,49.2,13.0
47,202501250CHI,PHI,L,2L,112.88,116.08,0.583,67.5,7.3,49.1,12.9
48,202501270CHI,DEN,W,1W,112.53,115.92,0.582,67.5,7.3,49.3,13.0
49,202501290BOS,BOS,L,1L,112.77,115.92,0.583,67.6,7.3,49.3,13.1
50,202501310TOR,TOR,W,1W,112.5,116.05,0.581,67.8,7.2,49.4,13.1
51,202502020DET,DET,L,1L,112.7,115.86,0.582,67.9,7.2,49.5,13.0
52,202502040CHI,MIA,W,1W,112.71,115.95,0.583,67.9,7.2,49.5,13.1
53,202502050MIN,MIN,L,1L,113.05,116.06,0.584,68.0,7.1,49.5,13.0
54,202502080CHI,GSW,L,2L,113.07,116.41,0.584,67.9,7.2,49.3,13.0
55,202502110CHI,DET,L,3L,113.06,116.74,0.585,67.9,7.2,49.1,13.0
