game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120CLE,IND,W,1W,,,,,,,
2,202404140CLE,CHA,L,1L,,,,,,,
3,202410230TOR,TOR,W,1W,136.3,106.2,0.691,56.9,10.0,48.6,11.7
4,202410250CLE,DET,W,2W,136.3,106.2,0.691,56.9,10.0,48.6,11.7
5,202410260WAS,WAS,W,3W,124.7,103.65,0.652,61.8,11.5,48.4,12.1
6,202410280NYK,NYK,W,4W,126.13,106.03,0.653,60.3,11.8,49.3,12.8
7,202410300CLE,LAL,W,5W,123.15,106.5,0.638,58.7,11.4,49.1,12.8
8,202411010CLE,ORL,W,6W,123.98,106.1,0.644,60.2,11.8,49.2,12.4
9,202411020MIL,MIL,W,7W,122.75,106.07,0.641,59.6,10.8,50.3,12.3
10,202411040CLE,MIL,W,8W,122.37,107.91,0.633,61.2,9.7,50.2,11.5
11,202411060NOP,NOP,W,9W,121.58,108.67,0.629,61.1,9.8,49.5,11.3
12,202411080CLE,GSW,W,10W,122.71,110.24,0.631,61.4,9.3,50.5,11.3
13,202411090CLE,BKN,W,11W,123.18,110.18,0.637,62.4,9.1,50.6,11.8
14,202411110CHI,CHI,W,12W,122.34,110.02,0.637,62.2,9.4,50.3,12.2
15,202411130PHI,PHI,W,13W,121.69,109.92,0.63,62.1,9.8,50.0,11.9
16,202411150CLE,CHI,W,14W,121.66,110.14,0.629,61.9,9.7,50.0,11.8
17,202411170CLE,CHA,W,15W,122.31,110.44,0.634,62.1,9.7,50.2,11.7
18,202411190BOS,BOS,L,1L,122.85,110.83,0.639,61.9,9.3,50.5,12.2
19,202411200CLE,NOP,W,1W,122.98,111.91,0.636,62.1,8.9,50.4,11.8
20,202411240CLE,TOR,W,2W,123.75,111.58,0.636,61.9,9.0,50.8,11.8
21,202411270CLE,ATL,L,1L,123.56,111.29,0.634,61.6,9.1,50.6,11.8
22,202411290ATL,ATL,L,2L,123.24,112.16,0.631,62.1,9.2,50.3,11.8
23,202412010CLE,BOS,W,1W,122.06,112.33,0.625,61.7,9.2,50.0,11.8
24,202412030CLE,WAS,W,2W,121.65,112.2,0.625,61.5,9.0,49.9,12.0
25,202412050CLE,DEN,W,3W,121.41,111.0,0.623,62.0,9.1,49.8,11.9
26,202412070CHO,CHA,W,4W,121.14,110.7,0.623,62.2,9.0,49.7,12.0
27,202412080MIA,MIA,L,1L,121.39,110.75,0.623,62.4,8.9,50.0,12.0
