game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202410240DAL,SAS,W,1W,118.1,107.3,0.535,64.3,8.9,49.0,8.2
2,202410260PHO,PHX,L,1L,105.6,118.1,0.505,59.5,6.2,49.5,8.2
3,202410280DAL,UTA,W,1W,111.85,112.7,0.52,61.9,7.6,49.2,8.2
4,202410290MIN,MIN,W,2W,110.97,108.9,0.526,62.2,8.0,49.5,9.5
5,202410310DAL,HOU,L,1L,114.5,111.4,0.543,60.5,9.1,49.3,9.3
6,202411030DAL,ORL,W,1W,113.7,112.52,0.543,59.2,8.6,48.0,9.4
7,202411040DAL,IND,L,1L,112.78,107.95,0.547,59.2,8.5,49.2,10.6
8,202411060DAL,CHI,W,1W,114.11,110.93,0.56,59.8,7.8,48.6,10.3
9,202411080DAL,PHX,L,1L,114.01,108.84,0.563,61.5,8.2,48.5,10.6
10,202411100DEN,DEN,L,2L,115.29,110.81,0.57,59.5,7.9,48.8,10.6
11,202411120GSW,GSW,L,3L,116.21,112.39,0.574,59.6,7.8,48.8,10.5
12,202411140UTA,UTA,L,4L,116.18,112.97,0.578,59.6,7.6,48.4,11.0
13,202411160DAL,SAS,W,1W,116.47,113.72,0.58,59.4,8.0,47.9,11.3
14,202411170OKC,OKC,W,2W,116.11,112.23,0.577,59.4,8.1,48.4,11.5
15,202411190DAL,NOP,W,3W,116.89,113.14,0.579,58.4,7.8,49.6,11.6
16,202411220DEN,DEN,W,4W,117.92,111.68,0.582,58.0,8.1,50.0,11.5
17,202411240MIA,MIA,L,1L,118.22,112.18,0.583,57.7,8.3,50.1,11.5
18,202411250ATL,ATL,W,1W,117.42,112.0,0.579,58.2,8.1,50.1,11.5
19,202411270DAL,NYK,W,2W,117.43,111.81,0.581,57.8,7.9,50.5,11.7
20,202411300UTA,UTA,W,3W,118.26,112.12,0.587,57.7,7.8,50.8,11.7
21,202412010POR,POR,W,4W,117.83,111.38,0.585,58.5,8.1,50.7,11.8
22,202412030DAL,MEM,W,5W,118.61,112.19,0.59,59.0,8.3,50.4,11.8
23,202412050WAS,WAS,W,6W,118.35,112.0,0.59,59.1,8.3,50.7,12.1
24,202412070TOR,TOR,W,7W,119.02,111.42,0.594,58.9,8.2,51.1,12.2
25,202412100OKC,OKC,L,1L,119.18,111.61,0.596,58.8,8.3,51.3,12.3
26,202412150GSW,GSW,W,1W,118.6,111.9,0.596,59.1,8.4,51.1,12.5
27,202412190DAL,LAC,L,1L,119.49,112.67,0.601,59.5,8.4,51.3,12.6
28,202412210DAL,LAC,W,1W,118.6,112.89,0.597,59.6,8.4,51.1,12.6
29,202412230DAL,POR,W,2W,118.54,112.44,0.596,59.7,8.5,51.1,12.5
30,202412250DAL,MIN,L,1L,118.97,112.26,0.597,59.5,8.6,50.9,12.4
31,202412270PHO,PHX,W,1W,118.6,112.33,0.595,58.9,8.5,50.9,12.4
32,202412280POR,POR,L,1L,118.19,111.81,0.594,59.3,8.4,50.8,12.5
33,202412300SAC,SAC,L,2L,118.24,112.18,0.595,58.9,8.4,50.6,12.5
34,202501010HOU,HOU,L,3L,117.61,112.03,0.594,58.7,8.3,50.2,12.6
35,202501030DAL,CLE,L,4L,117.03,111.94,0.594,58.4,8.4,50.3,12.8
36,202501060MEM,MEM,L,5L,117.11,112.5,0.592,58.6,8.2,50.4,12.7
37,202501070DAL,LAL,W,1W,116.63,112.55,0.59,58.7,8.2,50.3,12.7
38,202501090DAL,POR,W,2W,117.0,112.41,0.591,58.9,8.2,50.5,12.7
39,202501120DAL,DEN,L,1L,117.1,112.46,0.591,59.0,8.2,50.6,12.7
40,202501140DAL,DEN,L,2L,116.73,112.5,0.589,59.5,8.1,50.3,12.7
41,202501150NOP,NOP,L,3L,116.3,112.65,0.587,59.8,8.3,50.0,12.6
42,202501170DAL,OKC,W,1W,116.2,112.7,0.586,59.9,8.3,50.0,12.6
43,202501200CHO,CHA,L,1L,116.1,112.5,0.587,60.0,8.4,49.9,12.7
44,202501220DAL,MIN,L,2L,115.94,112.54,0.586,59.8,8.4,49.9,12.7
45,202501230OKC,OKC,W,1W,115.92,112.61,0.586,59.7,8.3,49.9,12.7
46,202501250DAL,BOS,L,1L,116.03,112.67,0.588,59.8,8.4,50.1,12.9
47,202501270DAL,WAS,W,1W,115.92,112.97,0.587,59.5,8.2,50.1,12.8
48,202501290NOP,NOP,W,2W,116.23,112.87,0.588,59.9,8.1,50.1,12.8
49,202501310DET,DET,L,1L,116.58,113.27,0.59,59.9,8.1,50.3,12.8
50,202502020CLE,CLE,L,2L,116.39,113.47,0.588,59.7,8.0,50.3,12.9
51,202502040PHI,PHI,L,3L,115.97,113.93,0.586,59.6,8.0,50.2,12.8
52,202502060BOS,BOS,W,1W,116.12,114.15,0.586,59.6,8.0,50.3,12.8
53,202502080DAL,HOU,W,2W,116.42,114.35,0.587,59.8,8.0,50.3,12.7
54,202502100DAL,SAC,L,1L,116.62,114.37,0.587,59.7,7.9,50.2,12.6
55,202502120DAL,GSW,W,1W,116.6,114.4,0.588,59.8,8.0,50.0,12.6
56,202502130DAL,MIA,W,2W,116.56,114.32,0.588,59.5,8.0,49.9,12.6
57,202502210DAL,NOP,W,3W,116.66,114.38,0.588,59.6,8.0,49.9,12.6
58,202502230GSW,GSW,L,1L,116.54,114.15,0.588,59.8,8.0,49.8,12.6
59,202502250LAL,LAL,L,2L,116.3,114.37,0.587,59.9,8.0,49.7,12.6
60,202502270DAL,CHA,W,1W,116.05,114.3,0.586,60.0,8.0,49.6,12.6
