game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120SAS,SAS,L,1L,,,,,,,
2,202404140MEM,MEM,W,1W,,,,,,,
3,202410240DEN,OKC,L,1L,86.8,101.7,0.418,82.9,11.0,53.8,13.3
4,202410260DEN,LAC,L,2L,86.8,101.7,0.418,82.9,11.0,53.8,13.3
5,202410280TOR,TOR,W,1W,98.7,108.8,0.476,70.0,12.4,49.8,11.3
6,202410290BRK,BKN,W,2W,104.3,110.43,0.511,67.2,10.1,49.5,11.8
7,202411010MIN,MIN,L,1L,112.45,115.85,0.547,67.3,8.3,50.0,10.0
8,202411020DEN,UTA,W,1W,113.54,116.86,0.549,68.5,8.9,50.9,10.5
9,202411040DEN,TOR,W,2W,115.15,113.77,0.556,68.5,9.6,52.0,11.1
10,202411060DEN,OKC,W,3W,115.57,114.1,0.563,68.8,9.5,51.9,11.6
11,202411080DEN,MIA,W,4W,115.53,114.0,0.568,70.4,9.2,52.2,12.0
12,202411100DEN,DAL,W,5W,117.53,114.74,0.588,70.8,8.8,52.4,12.5
13,202411150NOP,NOP,L,1L,118.44,115.72,0.59,71.5,8.5,52.3,12.2
14,202411170MEM,MEM,L,2L,116.95,115.16,0.583,71.4,8.7,51.2,11.8
15,202411190MEM,MEM,W,1W,114.96,114.62,0.576,70.9,8.8,50.8,12.0
16,202411220DEN,DAL,L,1L,114.31,113.18,0.575,70.1,9.1,50.7,12.2
17,202411230LAL,LAL,W,1W,114.69,113.86,0.575,70.5,8.7,50.6,12.3
18,202411250DEN,NYK,L,1L,115.46,113.03,0.584,70.8,8.6,51.2,12.5
19,202411270UTA,UTA,W,1W,115.58,114.97,0.583,69.9,8.4,50.7,12.4
20,202412010LAC,LAC,L,1L,116.51,114.74,0.587,69.6,8.5,50.4,12.3
21,202412030DEN,GSW,W,1W,116.78,115.33,0.589,69.8,8.5,50.3,12.3
22,202412050CLE,CLE,L,1L,116.63,115.05,0.591,70.3,8.5,49.9,12.4
23,202412070WAS,WAS,L,2L,116.0,115.06,0.589,69.5,8.6,50.0,12.4
24,202412080ATL,ATL,W,1W,115.72,115.24,0.586,69.7,8.7,50.1,12.4
25,202412130DEN,LAC,W,2W,116.49,114.75,0.591,70.0,8.7,50.0,12.6
26,202412160SAC,SAC,W,3W,116.4,113.82,0.594,69.4,8.9,50.4,12.9
27,202412190POR,POR,L,1L,116.53,114.02,0.594,69.6,8.9,50.7,12.8
28,202412220NOP,NOP,W,1W,116.93,114.6,0.596,69.8,8.8,50.5,12.7
29,202412230DEN,PHX,W,2W,116.7,114.37,0.596,69.8,8.8,50.7,12.9
30,202412250PHO,PHX,L,1L,117.02,113.7,0.596,70.0,8.7,50.9,12.8
31,202412270DEN,CLE,L,2L,116.76,113.95,0.595,69.5,8.5,50.9,12.9
32,202412280DEN,DET,W,1W,117.17,114.91,0.597,69.6,8.5,50.9,12.8
33,202412300UTA,UTA,W,2W,117.71,115.1,0.6,69.4,8.5,50.8,12.8
34,202501010DEN,ATL,W,3W,118.12,115.24,0.6,69.5,8.7,51.1,12.6
35,202501030DEN,SAS,L,1L,118.39,115.06,0.602,69.9,8.6,51.0,12.6
36,202501040SAS,SAS,W,1W,118.12,114.97,0.6,70.2,8.6,50.8,12.4
37,202501070DEN,BOS,L,1L,117.93,114.58,0.597,70.1,8.6,50.8,12.2
38,202501080DEN,LAC,W,1W,117.78,114.89,0.596,69.7,8.5,50.8,12.3
39,202501100DEN,BKN,W,2W,118.05,114.6,0.598,69.4,8.5,50.8,12.2
40,202501120DAL,DAL,W,3W,118.14,114.27,0.598,69.5,8.6,50.9,12.2
41,202501140DAL,DAL,W,4W,118.03,113.97,0.597,69.0,8.5,51.2,12.2
42,202501150DEN,HOU,L,1L,118.04,113.6,0.598,68.9,8.5,51.5,12.4
43,202501170MIA,MIA,W,1W,117.94,114.14,0.599,68.6,8.4,51.4,12.6
44,202501190ORL,ORL,W,2W,118.39,114.18,0.6,68.6,8.3,51.3,12.4
45,202501210DEN,PHI,W,3W,118.36,113.93,0.601,68.4,8.3,51.5,12.5
46,202501230DEN,SAC,W,4W,119.09,113.91,0.604,68.6,8.3,51.9,12.5
47,202501250MIN,MIN,L,1L,119.15,113.9,0.604,68.4,8.3,51.9,12.5
48,202501270CHI,CHI,L,2L,118.89,114.42,0.603,68.5,8.3,51.7,12.6
49,202501290NYK,NYK,L,3L,118.83,114.63,0.602,68.5,8.4,51.6,12.6
50,202501310PHI,PHI,W,1W,118.76,114.87,0.602,68.2,8.2,51.7,12.6
51,202502010CHO,CHA,W,2W,119.21,115.34,0.605,68.3,8.2,51.8,12.7
52,202502030DEN,NOP,W,3W,119.0,115.14,0.604,68.3,8.2,51.7,12.6
53,202502050DEN,NOP,W,4W,119.37,115.32,0.604,68.2,8.2,51.7,12.5
54,202502060DEN,ORL,W,5W,119.8,115.35,0.606,68.2,8.2,51.8,12.4
55,202502080PHO,PHX,W,6W,119.71,114.92,0.606,68.3,8.2,51.9,12.5
56,202502100DEN,POR,W,7W,119.99,114.93,0.606,68.2,8.2,52.0,12.4
57,202502120DEN,POR,W,8W,120.41,114.92,0.608,68.3,8.2,52.1,12.4
58,202502200DEN,CHA,W,9W,120.53,114.94,0.608,68.0,8.2,52.1,12.4
59,202502220DEN,LAL,L,1L,120.67,114.94,0.608,67.9,8.2,52.1,12.3
60,202502240IND,IND,W,1W,120.36,115.14,0.607,68.1,8.1,52.1,12.5
61,202502270MIL,MIL,L,1L,120.36,115.08,0.607,68.2,8.1,52.3,12.5
62,202502280DET,DET,W,1W,120.11,115.07,0.606,68.1,8.1,52.3,12.5
63,202503020BOS,BOS,L,1L,120.24,115.04,0.607,67.9,8.0,52.3,12.6
64,202503050DEN,SAC,W,1W,120.08,115.09,0.606,67.9,8.1,52.2,12.6
65,202503070DEN,PHX,W,2W,120.05,115.04,0.606,67.9,8.1,52.2,12.5
66,202503090OKC,OKC,L,1L,120.37,115.32,0.608,68.1,8.1,52.1,12.5
