game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120DAL,DAL,W,1W,,,,,,,
2,202404140SAS,SAS,L,1L,,,,,,,
3,202410230DET,IND,L,2L,110.5,116.6,0.543,57.9,6.1,49.4,12.2
4,202410250CLE,CLE,L,3L,110.5,116.6,0.543,57.9,6.1,49.4,12.2
5,202410260DET,BOS,L,4L,105.8,114.85,0.557,61.8,4.5,50.6,16.0
6,202410280MIA,MIA,L,5L,110.77,118.83,0.573,62.2,4.4,51.9,15.1
7,202410300PHI,PHI,W,1W,108.95,117.1,0.554,56.6,4.9,52.7,15.0
8,202411010DET,NYK,L,1L,110.36,114.66,0.563,58.1,4.8,53.5,15.3
9,202411030BRK,BKN,W,1W,108.3,116.9,0.566,57.8,5.0,52.2,16.2
10,202411040DET,LAL,W,2W,108.79,114.06,0.571,59.2,4.9,53.9,16.6
11,202411060CHO,CHA,L,1L,109.71,112.81,0.568,57.9,5.0,54.6,15.8
12,202411080DET,ATL,W,1W,109.34,112.21,0.565,59.7,5.0,54.0,15.2
13,202411100DET,HOU,L,1L,109.82,112.3,0.57,59.8,5.2,53.7,15.4
14,202411120DET,MIA,W,1W,109.09,111.53,0.566,59.7,5.3,53.0,15.5
15,202411130MIL,MIL,L,1L,109.75,111.83,0.568,60.9,5.1,53.3,15.4
16,202411150TOR,TOR,W,1W,109.98,112.39,0.568,61.1,5.2,53.0,15.2
17,202411170WAS,WAS,W,2W,109.13,111.09,0.561,61.1,5.4,52.9,15.0
18,202411180DET,CHI,L,1L,110.08,110.58,0.563,60.9,5.7,53.1,14.5
19,202411210CHO,CHA,L,2L,110.5,111.62,0.561,61.2,5.6,53.0,14.1
20,202411230ORL,ORL,L,3L,110.82,111.99,0.56,61.8,5.7,53.2,14.1
21,202411250DET,TOR,W,1W,110.87,112.65,0.562,60.9,5.8,52.7,14.3
22,202411270MEM,MEM,L,1L,110.86,112.44,0.562,61.8,5.7,52.2,14.2
23,202411290IND,IND,W,1W,110.59,113.05,0.563,61.8,5.7,52.1,14.4
24,202411300DET,PHI,L,1L,111.53,112.72,0.57,62.3,5.9,52.4,14.5
25,202412030DET,MIL,L,2L,110.8,112.62,0.566,62.3,5.9,52.0,14.5
26,202412040BOS,BOS,L,3L,110.62,113.27,0.566,62.0,6.1,52.1,14.5
27,202412070NYK,NYK,W,1W,110.95,113.9,0.569,62.0,6.3,51.8,14.6
28,202412120BOS,BOS,L,1L,111.32,113.8,0.573,62.1,6.3,52.0,14.7
29,202412160DET,MIA,W,1W,110.85,114.15,0.569,62.2,6.4,51.8,14.5
