game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404160SAC,SAC,L,1L,,,,,,,
2,202410230POR,POR,W,1W,130.6,97.0,0.659,79.2,12.1,57.6,14.5
3,202410250UTA,UTA,W,2W,130.6,97.0,0.659,79.2,12.1,57.6,14.5
4,202410270GSW,LAC,L,1L,126.3,89.8,0.621,73.9,13.2,57.4,13.3
5,202410290GSW,NOP,W,1W,118.17,96.47,0.592,65.9,12.1,54.7,14.8
6,202410300GSW,NOP,W,2W,120.5,99.6,0.595,67.9,12.9,52.0,12.9
7,202411020HOU,HOU,W,3W,119.34,99.32,0.588,69.9,11.4,50.8,12.9
8,202411040WAS,WAS,W,4W,119.73,102.08,0.596,69.1,10.3,50.5,12.8
9,202411060BOS,BOS,W,5W,119.97,103.04,0.59,68.7,9.6,51.1,11.8
10,202411080CLE,CLE,L,1L,120.36,104.76,0.589,66.6,9.2,51.3,11.6
11,202411100OKC,OKC,W,1W,119.17,107.28,0.586,66.8,9.6,51.0,11.8
12,202411120GSW,DAL,W,2W,120.16,108.34,0.592,67.9,9.4,51.1,12.0
13,202411150GSW,MEM,W,3W,120.04,109.03,0.589,67.6,9.8,51.6,11.9
14,202411180LAC,LAC,L,1L,119.26,108.79,0.587,68.3,9.6,51.5,12.1
15,202411200GSW,ATL,W,1W,117.54,108.11,0.583,68.7,9.8,51.4,12.5
16,202411220NOP,NOP,W,2W,116.89,106.65,0.581,69.3,9.7,51.0,12.5
17,202411230SAS,SAS,L,1L,116.71,106.88,0.58,69.3,9.4,51.2,12.6
18,202411250GSW,BKN,L,2L,115.89,107.36,0.573,70.0,9.1,51.2,12.4
19,202411270GSW,OKC,L,3L,116.15,108.59,0.574,70.0,9.0,51.2,12.3
20,202411300PHO,PHX,L,4L,115.24,108.32,0.568,70.1,8.9,51.3,12.4
21,202412030DEN,DEN,L,5L,114.91,108.8,0.566,70.3,8.9,51.2,12.2
22,202412050GSW,HOU,W,1W,114.67,109.06,0.565,70.9,9.0,51.4,12.2
23,202412060GSW,MIN,L,1L,114.2,108.55,0.563,70.0,8.8,51.6,12.0
24,202412080GSW,MIN,W,1W,113.04,108.41,0.56,69.8,8.8,51.3,12.4
25,202412110HOU,HOU,L,1L,113.35,108.55,0.561,69.7,8.8,51.4,12.4
26,202412150GSW,DAL,L,2L,112.57,108.02,0.559,69.2,9.0,51.5,12.7
27,202412190MEM,MEM,L,3L,113.34,109.36,0.561,69.7,9.0,51.2,12.5
28,202412210MIN,MIN,W,1W,112.39,110.43,0.557,69.4,9.0,50.6,12.6
29,202412230GSW,IND,L,1L,112.57,110.3,0.558,69.6,9.1,50.6,12.5
30,202412250GSW,LAL,L,2L,112.39,110.43,0.557,69.8,9.0,50.6,12.4
31,202412270LAC,LAC,L,3L,112.67,110.85,0.558,69.5,8.7,50.7,12.4
32,202412280GSW,PHX,W,1W,112.13,110.71,0.554,69.5,8.9,50.8,12.4
33,202412300GSW,CLE,L,1L,112.16,110.65,0.553,69.3,8.9,50.8,12.3
34,202501020GSW,PHI,W,1W,111.46,110.54,0.549,69.0,8.8,50.8,12.3
35,202501040GSW,MEM,W,2W,112.34,110.4,0.555,69.3,8.7,51.0,12.3
36,202501050GSW,SAC,L,1L,112.61,110.49,0.558,69.4,8.8,50.7,12.4
37,202501070GSW,MIA,L,2L,112.23,111.03,0.558,69.1,8.8,50.5,12.6
38,202501090DET,DET,W,1W,111.87,111.16,0.556,69.1,8.8,50.5,12.6
39,202501100IND,IND,L,1L,111.84,111.07,0.556,69.4,8.9,50.7,12.6
40,202501130TOR,TOR,L,2L,111.51,111.08,0.555,69.3,8.9,50.6,12.6
41,202501150MIN,MIN,W,1W,111.43,111.09,0.554,69.2,9.0,50.6,12.6
42,202501180GSW,WAS,W,2W,111.93,111.58,0.556,69.1,9.0,50.6,12.6
43,202501200GSW,BOS,L,1L,112.26,111.71,0.556,68.7,8.9,50.7,12.5
44,202501220SAC,SAC,L,2L,111.7,112.17,0.553,69.2,8.9,50.6,12.5
45,202501230GSW,CHI,W,1W,111.85,112.45,0.554,69.2,8.8,50.6,12.6
46,202501250GSW,LAL,L,1L,112.3,112.31,0.556,69.5,8.7,50.7,12.5
47,202501280GSW,UTA,W,1W,112.32,112.56,0.556,69.6,8.7,50.7,12.5
48,202501290GSW,OKC,W,2W,112.49,112.48,0.555,69.8,8.7,50.8,12.4
49,202501310GSW,PHX,L,1L,112.54,112.39,0.557,69.9,8.7,50.6,12.4
50,202502030GSW,ORL,W,1W,112.3,112.64,0.555,70.0,8.7,50.6,12.4
51,202502050UTA,UTA,L,1L,112.24,112.47,0.555,70.0,8.7,50.5,12.4
52,202502060LAL,LAL,L,2L,112.47,112.75,0.556,70.1,8.7,50.5,12.3
53,202502080CHI,CHI,W,1W,112.39,112.82,0.555,70.1,8.6,50.4,12.2
54,202502100MIL,MIL,W,2W,112.8,112.81,0.557,70.2,8.6,50.5,12.3
55,202502120DAL,DAL,L,1L,112.99,112.74,0.557,70.1,8.8,50.6,12.2
56,202502130HOU,HOU,W,1W,112.93,112.76,0.556,70.1,8.8,50.7,12.2
57,202502210SAC,SAC,W,2W,112.78,112.49,0.555,70.2,8.9,50.6,12.1
58,202502230GSW,DAL,W,3W,113.19,112.47,0.558,70.4,8.9,50.6,12.1
59,202502250GSW,CHA,W,4W,113.43,112.29,0.558,70.2,9.0,50.7,12.1
60,202502270ORL,ORL,W,5W,113.66,111.93,0.559,70.4,9.1,50.7,12.0
61,202503010PHI,PHI,L,1L,113.87,112.06,0.56,70.5,9.1,50.6,12.0
62,202503030CHO,CHA,W,1W,113.95,112.29,0.56,70.5,9.0,50.7,12.0
63,202503040NYK,NYK,W,2W,113.96,112.05,0.56,70.7,9.0,50.7,12.0
64,202503060BRK,BKN,W,3W,114.03,111.94,0.56,70.7,9.0,50.7,12.0
65,202503080GSW,DET,W,4W,114.23,112.14,0.562,70.8,8.9,50.8,12.0
66,202503100GSW,POR,W,5W,114.14,112.01,0.562,70.8,9.0,50.8,12.1
67,202503130GSW,SAC,W,6W,114.41,112.16,0.564,70.9,9.1,50.8,12.1
68,202503150GSW,NYK,W,7W,114.71,112.09,0.566,71.0,9.1,50.9,12.2
69,202503170GSW,DEN,L,1L,114.6,111.96,0.566,71.1,9.0,50.9,12.2
70,202503180GSW,MIL,W,1W,114.44,111.97,0.565,70.9,9.1,50.7,12.2
71,202503200GSW,TOR,W,2W,114.36,111.76,0.566,71.0,9.1,50.9,12.3
72,202503220ATL,ATL,L,1L,114.36,111.76,0.566,71.2,9.2,50.8,12.3
73,202503250MIA,MIA,L,2L,114.39,111.95,0.566,71.2,9.1,50.7,12.3
74,202503280NOP,NOP,W,1W,114.12,112.12,0.565,71.0,9.1,50.7,12.3
75,202503300SAS,SAS,W,2W,114.19,111.98,0.564,71.1,9.2,50.7,12.3
76,202504010MEM,MEM,W,3W,114.56,111.84,0.566,71.1,9.3,50.8,12.3
77,202504030LAL,LAL,W,4W,114.74,111.93,0.567,71.1,9.3,50.8,12.2
78,202504040GSW,DEN,W,5W,115.02,112.15,0.568,71.2,9.2,50.9,12.2
79,202504060GSW,HOU,L,1L,115.11,112.09,0.568,71.0,9.3,50.8,12.2
80,202504080PHO,PHX,W,1W,114.9,112.05,0.568,71.1,9.3,50.8,12.3
81,202504090GSW,SAS,L,1L,115.14,111.84,0.568,71.0,9.4,50.9,12.3
82,202504110POR,POR,W,1W,115.2,111.98,0.568,71.2,9.4,50.9,12.3
83,202504130GSW,LAC,L,1L,115.03,111.65,0.568,71.3,9.4,50.9,12.3
84,202504150GSW,MEM,W,1W,115.1,111.81,0.569,71.3,9.5,50.7,12.3
