game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120POR,POR,W,1W,,,,,,,
2,202404140LAC,LAC,W,2W,,,,,,,
3,202410230HOU,CHA,L,1L,108.7,113.9,0.47,50.0,8.3,43.4,6.7
4,202410250HOU,MEM,W,1W,108.7,113.9,0.47,50.0,8.3,43.4,6.7
5,202410260SAS,SAS,L,1L,113.8,107.1,0.516,48.2,8.8,51.6,10.5
6,202410280SAS,SAS,W,1W,111.77,108.3,0.519,50.6,9.3,48.1,10.3
7,202410310DAL,DAL,W,2W,112.6,108.65,0.528,52.2,8.6,47.7,10.5
8,202411020HOU,GSW,L,1L,113.48,109.02,0.521,52.3,7.7,49.7,10.1
9,202411040HOU,NYK,W,1W,113.88,111.13,0.52,53.8,8.0,49.9,9.8
10,202411060HOU,SAS,W,2W,114.56,110.33,0.527,53.1,7.5,50.8,9.9
11,202411080OKC,OKC,L,1L,115.9,108.86,0.539,52.9,7.8,51.0,10.0
12,202411100DET,DET,W,1W,114.7,110.51,0.537,52.5,7.7,51.3,10.5
13,202411110HOU,WAS,W,2W,113.61,109.64,0.532,52.2,8.0,51.5,10.5
14,202411130HOU,LAC,W,3W,112.95,107.98,0.534,50.4,8.3,52.6,11.1
15,202411150HOU,LAC,W,4W,112.83,107.62,0.533,51.8,8.3,53.1,11.2
16,202411170CHI,CHI,W,5W,113.43,107.05,0.539,53.0,8.5,52.7,11.1
17,202411180MIL,MIL,L,1L,114.26,106.09,0.543,53.6,8.4,53.1,10.9
18,202411200HOU,IND,W,1W,113.26,105.7,0.539,53.2,8.4,53.3,10.9
19,202411220HOU,POR,W,2W,113.4,105.37,0.54,53.2,8.8,53.5,10.9
20,202411230HOU,POR,L,1L,113.28,104.14,0.541,53.9,9.0,53.4,11.1
21,202411260MIN,MIN,W,1W,112.66,104.37,0.537,53.8,9.0,53.0,11.0
22,202411270PHI,PHI,W,2W,112.49,104.35,0.538,54.6,9.1,52.6,10.9
23,202412010HOU,OKC,W,3W,112.47,104.41,0.54,54.8,9.1,52.7,11.2
24,202412030SAC,SAC,L,1L,112.83,105.01,0.541,54.7,8.8,52.7,11.1
25,202412050GSW,GSW,L,2L,112.96,105.91,0.541,53.7,8.7,53.1,11.2
26,202412080LAC,LAC,W,1W,112.33,105.87,0.537,53.9,8.7,52.7,11.0
27,202412110HOU,GSW,W,2W,112.75,106.08,0.541,54.0,8.6,53.0,11.1
28,202412140OKC,OKC,L,1L,112.07,105.62,0.54,54.3,8.6,52.8,11.3
29,202412190HOU,NOP,W,1W,111.45,105.83,0.537,54.1,8.6,52.9,11.4
30,202412220TOR,TOR,W,2W,112.24,106.09,0.543,54.6,8.5,52.9,11.4
31,202412230CHO,CHA,W,3W,112.12,106.05,0.543,54.2,8.6,53.0,11.6
