game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120CLE,CLE,L,1L,,,,,,,
2,202404140IND,ATL,W,1W,,,,,,,
3,202410230DET,DET,W,2W,116.6,110.5,0.612,76.2,10.1,50.6,13.8
4,202410250NYK,NYK,L,1L,116.6,110.5,0.612,76.2,10.1,50.6,13.8
5,202410270IND,PHI,L,2L,109.55,119.55,0.573,72.2,9.2,47.0,14.3
6,202410280ORL,ORL,L,3L,108.23,116.17,0.574,72.1,8.6,44.9,15.1
7,202410300IND,BOS,W,1W,110.2,117.15,0.573,69.3,8.2,45.9,14.2
8,202411010NOP,NOP,L,1L,111.86,116.88,0.576,68.7,8.4,47.3,14.2
9,202411040DAL,DAL,W,1W,112.88,118.23,0.584,69.9,7.5,47.0,14.0
10,202411060IND,ORL,W,2W,115.16,118.79,0.592,67.9,7.1,48.2,13.2
11,202411080CHO,CHA,L,1L,116.21,118.47,0.603,65.8,7.1,48.2,13.0
12,202411100IND,NYK,W,1W,113.11,117.48,0.587,66.5,7.5,47.3,13.1
13,202411130ORL,ORL,L,1L,114.98,117.81,0.595,65.9,7.3,47.1,12.7
14,202411150IND,MIA,L,2L,113.07,116.02,0.586,66.2,7.6,46.9,12.9
15,202411170IND,MIA,W,1W,112.78,116.56,0.588,65.9,7.7,47.3,13.4
16,202411180TOR,TOR,L,1L,114.15,116.87,0.591,66.1,7.6,47.8,13.1
17,202411200HOU,HOU,L,2L,114.19,117.48,0.589,66.1,8.2,47.4,12.9
18,202411220MIL,MIL,L,3L,113.27,117.35,0.589,64.6,8.1,47.1,13.3
19,202411240IND,WAS,W,1W,113.22,117.76,0.588,64.9,8.2,47.3,13.3
20,202411250IND,NOP,W,2W,113.57,117.11,0.588,65.5,8.2,47.6,13.2
21,202411270IND,POR,W,3W,113.44,116.57,0.588,65.8,8.3,47.7,13.2
