game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120LAC,UTA,L,1L,,,,,,,
2,202404140LAC,HOU,L,2L,,,,,,,
3,202410230LAC,PHX,L,3L,101.9,104.6,0.537,64.3,8.1,54.8,17.3
4,202410260DEN,DEN,W,1W,101.9,104.6,0.537,64.3,8.1,54.8,17.3
5,202410270GSW,GSW,W,2W,108.9,107.6,0.567,69.7,6.2,54.5,16.5
6,202410300LAC,POR,L,1L,109.2,105.7,0.564,67.9,7.7,53.2,16.1
7,202410310LAC,PHX,L,2L,109.08,106.72,0.557,66.8,8.4,52.6,15.2
8,202411020LAC,OKC,L,3L,111.6,110.96,0.562,65.4,8.4,53.2,14.5
9,202411040LAC,SAS,W,1W,108.27,109.88,0.553,66.5,8.6,53.5,15.4
10,202411060LAC,PHI,W,2W,110.46,110.43,0.557,65.7,8.3,52.9,14.6
11,202411080SAC,SAC,W,3W,112.01,110.31,0.573,65.7,9.0,52.2,15.2
12,202411090LAC,TOR,W,4W,111.84,109.3,0.575,64.6,8.8,52.8,15.6
13,202411110OKC,OKC,L,1L,111.44,108.95,0.575,63.3,8.5,52.7,15.4
14,202411130HOU,HOU,L,2L,112.95,111.23,0.586,63.9,8.2,53.5,15.8
15,202411150HOU,HOU,L,3L,112.17,111.26,0.579,64.5,8.4,52.5,15.4
16,202411170LAC,UTA,W,1W,111.25,111.98,0.572,62.3,8.2,52.5,15.2
17,202411180LAC,GSW,W,2W,112.09,111.93,0.572,62.5,8.4,52.3,14.7
18,202411200LAC,ORL,W,3W,111.28,110.93,0.572,63.9,8.5,52.1,14.9
19,202411220LAC,SAC,W,4W,111.18,110.12,0.574,63.5,8.6,53.0,15.4
20,202411240PHI,PHI,W,5W,110.8,108.86,0.571,63.8,8.9,53.0,15.1
21,202411250BOS,BOS,L,1L,111.92,108.57,0.577,63.9,8.9,53.2,15.1
22,202411270WAS,WAS,W,1W,111.07,109.62,0.572,63.0,8.9,53.0,15.0
23,202411290MIN,MIN,L,1L,111.53,108.91,0.574,62.9,9.3,53.0,14.9
24,202412010LAC,DEN,W,1W,110.89,108.44,0.571,62.5,9.8,52.6,14.9
25,202412030LAC,POR,W,2W,111.55,109.03,0.573,62.6,9.7,52.6,14.8
26,202412040LAC,MIN,L,1L,112.77,109.31,0.578,62.6,9.6,52.7,14.7
27,202412080LAC,HOU,L,2L,111.41,109.26,0.573,61.8,9.5,52.5,15.0
28,202412130DEN,DEN,L,3L,111.39,109.79,0.571,61.4,9.6,52.0,14.7
