game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404140NOP,NOP,W,1W,,,,,,,
2,202404160NOP,NOP,W,2W,,,,,,,
3,202410220LAL,MIN,W,3W,114.7,107.4,0.519,52.4,7.3,49.5,6.2
4,202410250LAL,PHX,W,4W,114.7,107.4,0.519,52.4,7.3,49.5,6.2
5,202410260LAL,SAC,W,5W,119.8,112.55,0.593,67.5,8.8,50.8,9.3
6,202410280PHO,PHX,L,1L,121.23,115.13,0.608,67.2,8.4,53.3,11.4
7,202410300CLE,CLE,L,2L,117.8,114.25,0.585,66.4,7.5,52.5,11.2
8,202411010TOR,TOR,W,1W,115.14,116.86,0.588,64.2,7.2,52.1,12.7
9,202411040DET,DET,L,1L,116.95,117.42,0.593,65.0,6.9,51.7,12.0
10,202411060MEM,MEM,L,2L,115.11,117.24,0.584,66.5,7.1,50.0,12.0
11,202411080LAL,PHI,W,1W,114.46,118.38,0.581,65.2,7.4,49.1,11.7
12,202411100LAL,TOR,W,2W,114.91,117.26,0.587,65.0,6.7,49.3,11.8
13,202411130LAL,MEM,W,3W,116.89,116.81,0.591,65.4,7.0,48.9,11.1
14,202411150SAS,SAS,W,4W,117.33,116.82,0.596,66.0,7.0,49.0,11.5
15,202411160NOP,NOP,W,5W,117.97,117.07,0.597,65.6,7.3,49.1,11.4
16,202411190LAL,UTA,W,6W,117.95,116.68,0.593,65.3,7.6,48.9,11.3
17,202411210LAL,ORL,L,1L,118.44,116.84,0.599,65.7,7.7,48.6,11.5
18,202411230LAL,DEN,L,2L,118.59,117.16,0.599,64.5,7.5,48.2,11.3
19,202411260PHO,PHX,L,3L,117.51,117.72,0.595,64.8,7.7,47.7,11.5
20,202411270SAS,SAS,W,1W,116.44,118.22,0.591,65.0,7.6,47.7,11.4
21,202411290LAL,OKC,L,1L,117.01,117.62,0.593,65.0,7.7,48.1,11.5
22,202412010UTA,UTA,W,1W,116.21,117.24,0.591,65.5,7.5,48.2,11.8
23,202412020MIN,MIN,L,1L,116.11,117.05,0.588,65.2,7.5,48.2,11.4
24,202412040MIA,MIA,L,2L,114.6,116.95,0.583,64.9,7.6,48.2,11.8
25,202412060ATL,ATL,L,3L,113.82,118.01,0.578,65.5,7.6,47.9,11.8
26,202412080LAL,POR,W,1W,113.95,118.04,0.58,65.5,7.7,47.8,11.9
27,202412130MIN,MIN,L,1L,113.9,117.42,0.58,65.5,8.0,47.7,11.8
28,202412150LAL,MEM,W,1W,112.88,116.67,0.575,64.9,8.0,47.9,12.1
29,202412190SAC,SAC,W,2W,112.62,116.05,0.576,64.7,8.0,47.8,12.4
30,202412210SAC,SAC,W,3W,112.52,115.36,0.574,64.5,8.0,48.1,12.3
31,202412230LAL,DET,L,1L,112.3,114.89,0.573,64.2,8.1,48.2,12.3
32,202412250GSW,GSW,W,1W,112.47,115.07,0.577,64.4,8.1,48.3,12.6
33,202412280LAL,SAC,W,2W,112.8,115.25,0.577,64.7,8.0,48.3,12.4
34,202412310LAL,CLE,L,1L,113.54,115.57,0.582,64.9,7.9,48.2,12.4
35,202501020LAL,POR,W,1W,113.41,115.75,0.58,64.8,7.9,48.2,12.2
36,202501030LAL,ATL,W,2W,113.55,115.58,0.58,65.0,7.9,48.2,12.2
37,202501050HOU,HOU,L,1L,113.76,115.22,0.58,65.0,7.8,48.6,12.3
38,202501070DAL,DAL,L,2L,114.16,115.7,0.582,65.1,7.7,48.4,12.3
39,202501130LAL,SAS,L,3L,113.97,116.11,0.582,64.9,7.7,48.3,12.2
40,202501150LAL,MIA,W,1W,113.8,116.57,0.58,64.8,7.7,48.3,12.3
41,202501170LAL,BKN,W,2W,114.03,116.47,0.581,65.0,7.9,48.3,12.2
42,202501190LAC,LAC,L,1L,113.98,116.34,0.581,64.9,7.8,48.2,12.1
43,202501210LAL,WAS,W,1W,113.83,116.5,0.581,65.0,7.8,48.1,12.2
44,202501230LAL,BOS,W,2W,113.73,115.78,0.581,65.1,7.8,48.2,12.2
45,202501250GSW,GSW,W,3W,113.99,115.46,0.582,65.1,7.7,48.4,12.1
46,202501270CHO,CHA,W,4W,114.21,115.4,0.583,65.0,7.7,48.5,12.1
47,202501280PHI,PHI,L,1L,114.21,115.25,0.583,64.7,7.7,48.7,12.2
48,202501300WAS,WAS,W,1W,114.03,115.37,0.584,64.7,7.7,48.7,12.4
49,202502010NYK,NYK,W,2W,114.43,114.92,0.586,64.7,7.7,48.9,12.4
50,202502040LAC,LAC,W,3W,114.73,114.88,0.588,64.5,7.7,48.8,12.4
51,202502060LAL,GSW,W,4W,115.03,114.62,0.59,64.7,7.7,49.0,12.4
