game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202410230UTA,UTA,W,1W,121.8,119.9,0.6,65.1,6.8,45.6,11.0
2,202410250HOU,HOU,L,1L,100.3,118.9,0.505,63.2,7.4,40.2,15.1
3,202410260MEM,ORL,W,1W,111.05,119.4,0.552,64.2,7.1,42.9,13.1
4,202410280MEM,CHI,L,1L,113.37,114.83,0.582,70.3,7.9,45.5,13.9
5,202410300MEM,BKN,L,2L,114.38,116.2,0.569,70.8,7.1,47.7,12.4
6,202410310MEM,MIL,W,1W,112.78,116.84,0.568,70.9,7.5,48.7,13.7
7,202411020PHI,PHI,W,2W,113.55,113.25,0.58,69.2,7.2,50.5,14.0
8,202411040BRK,BKN,L,1L,114.91,112.26,0.589,69.7,7.5,52.1,14.1
9,202411060MEM,LAL,W,1W,114.55,112.5,0.582,69.4,7.2,52.4,14.0
10,202411080MEM,WAS,W,2W,115.86,112.21,0.588,68.2,6.9,52.9,14.1
11,202411100POR,POR,W,3W,116.11,110.61,0.589,67.9,7.2,53.1,14.2
12,202411130LAL,LAL,L,1L,116.59,107.88,0.598,67.9,7.8,53.2,14.7
13,202411150GSW,GSW,L,2L,116.62,109.03,0.597,67.8,8.0,52.9,14.4
14,202411170MEM,DEN,W,1W,115.82,109.16,0.59,66.6,7.9,52.6,14.2
15,202411190MEM,DEN,L,1L,115.3,108.01,0.587,67.3,8.1,52.7,14.0
16,202411200MEM,PHI,W,1W,114.01,107.91,0.579,66.7,8.1,52.6,14.1
17,202411230CHI,CHI,W,2W,114.4,108.3,0.583,66.9,7.9,52.4,14.4
18,202411250MEM,POR,W,3W,115.72,109.36,0.588,67.1,7.7,52.8,14.2
19,202411270MEM,DET,W,4W,116.01,108.63,0.589,67.8,7.7,53.0,14.3
20,202411290MEM,NOP,W,5W,116.46,108.47,0.593,67.5,7.9,52.9,14.3
21,202412010MEM,IND,W,6W,116.48,108.36,0.592,67.9,8.0,52.9,14.3
22,202412030DAL,DAL,L,1L,117.03,108.62,0.595,68.2,8.0,52.7,14.0
23,202412050MEM,SAC,W,1W,116.63,108.81,0.593,67.8,8.3,52.3,14.1
24,202412070BOS,BOS,W,2W,116.3,108.62,0.594,68.0,8.3,52.3,14.3
25,202412080WAS,WAS,W,3W,116.36,108.78,0.595,67.4,8.4,52.2,14.2
26,202412130MEM,BKN,W,4W,116.81,108.51,0.597,67.4,8.5,52.0,14.2
27,202412150LAL,LAL,L,1L,117.15,108.59,0.598,67.2,8.5,52.1,14.0
28,202412190MEM,GSW,W,1W,116.53,108.5,0.594,67.2,8.5,52.1,14.1
29,202412210ATL,ATL,W,2W,117.27,107.79,0.597,67.3,8.6,52.5,14.1
30,202412230MEM,LAC,L,1L,117.27,107.61,0.598,67.4,8.7,52.4,14.1
31,202412260MEM,TOR,W,1W,116.78,107.57,0.595,67.5,8.7,52.4,14.2
32,202412270NOP,NOP,W,2W,117.41,107.67,0.596,67.3,8.6,52.6,14.1
