game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202410230MIA,ORL,L,1L,100.9,120.7,0.512,75.0,5.2,41.8,10.4
2,202410260CHO,CHA,W,1W,116.2,108.0,0.58,82.5,8.2,48.3,12.5
3,202410280MIA,DET,W,2W,108.55,114.35,0.546,78.8,6.7,45.0,11.4
4,202410300MIA,NYK,L,1L,109.67,110.73,0.547,73.6,9.4,45.0,11.3
5,202411020WAS,WAS,W,1W,111.05,114.28,0.556,73.4,8.7,45.8,10.9
6,202411040MIA,SAC,L,1L,111.86,110.54,0.55,67.6,8.1,48.5,11.0
7,202411060PHO,PHX,L,2L,112.52,111.6,0.551,67.1,8.3,48.5,10.8
8,202411080DEN,DEN,L,3L,113.19,112.84,0.552,67.2,9.0,48.4,10.6
9,202411100MIN,MIN,W,1W,114.12,115.44,0.559,67.8,9.2,48.1,10.8
10,202411120DET,DET,L,1L,112.13,113.19,0.558,66.1,9.8,48.1,11.9
11,202411150IND,IND,W,1W,112.43,113.57,0.559,64.8,10.1,47.6,11.7
12,202411170IND,IND,L,1L,113.35,113.21,0.566,64.4,10.6,47.6,11.5
13,202411180MIA,PHI,W,1W,113.95,114.65,0.566,63.9,10.1,47.5,11.4
14,202411240MIA,DAL,W,2W,113.23,112.58,0.564,64.5,10.1,48.1,11.5
15,202411260MIA,MIL,L,1L,112.94,112.02,0.561,64.1,9.8,48.2,11.2
16,202411270CHO,CHA,W,1W,113.32,112.7,0.561,64.8,9.6,48.2,11.0
17,202411290MIA,TOR,W,2W,112.56,111.72,0.563,64.7,9.3,48.3,11.6
18,202412010TOR,TOR,L,1L,113.27,111.88,0.565,65.3,9.4,48.0,11.5
19,202412020BOS,BOS,L,2L,113.36,112.2,0.566,65.2,9.5,48.0,11.5
20,202412040MIA,LAL,W,1W,112.36,112.33,0.56,65.8,9.3,47.8,11.4
21,202412070MIA,PHX,W,2W,113.75,111.58,0.568,66.6,9.4,48.4,11.6
22,202412080MIA,CLE,W,3W,114.53,111.95,0.571,66.6,9.4,48.5,11.5
23,202412120MIA,TOR,W,4W,115.07,112.18,0.573,66.6,9.2,48.9,11.5
24,202412160DET,DET,L,1L,114.99,111.79,0.574,66.0,9.0,49.1,11.7
25,202412200MIA,OKC,L,2L,114.79,111.76,0.574,66.0,9.2,49.0,11.6
26,202412210ORL,ORL,L,3L,114.16,111.54,0.572,65.6,9.2,48.9,11.8
27,202412230MIA,BKN,W,1W,114.19,111.95,0.573,64.8,9.1,48.8,11.9
28,202412260ORL,ORL,W,2W,114.3,111.54,0.576,65.1,9.0,48.9,12.1
29,202412280ATL,ATL,L,1L,113.56,110.86,0.575,65.2,9.2,48.8,12.4
30,202412290HOU,HOU,W,1W,113.53,111.28,0.575,65.0,9.2,48.8,12.2
31,202501010MIA,NOP,W,2W,113.43,111.11,0.574,64.7,9.1,48.8,12.3
32,202501020MIA,IND,L,1L,113.77,111.15,0.576,65.1,9.0,49.0,12.3
33,202501040MIA,UTA,L,2L,113.98,111.87,0.579,65.5,8.9,49.0,12.4
34,202501060SAC,SAC,L,3L,113.51,112.54,0.578,65.7,8.9,48.6,12.4
35,202501070GSW,GSW,W,1W,113.25,112.44,0.576,65.5,9.0,48.6,12.4
36,202501090UTA,UTA,W,2W,113.32,112.07,0.576,65.7,9.0,48.6,12.3
37,202501110POR,POR,W,3W,113.01,111.64,0.574,65.9,9.0,48.6,12.3
38,202501130LAC,LAC,L,1L,113.17,111.28,0.575,66.0,9.1,48.5,12.2
39,202501150LAL,LAL,L,2L,112.78,111.23,0.573,66.1,9.1,48.6,12.3
40,202501170MIA,DEN,L,3L,112.78,111.51,0.576,66.0,8.9,48.7,12.5
41,202501190MIA,SAS,W,1W,112.86,112.13,0.576,66.0,8.7,48.7,12.4
42,202501210MIA,POR,L,1L,113.3,112.07,0.578,66.1,8.7,48.8,12.3
43,202501230MIL,MIL,L,2L,113.34,112.37,0.577,66.1,8.6,48.8,12.3
44,202501250BRK,BKN,W,1W,112.97,112.7,0.575,66.3,8.4,48.8,12.2
45,202501270MIA,ORL,W,2W,112.9,112.43,0.575,66.2,8.5,49.0,12.4
46,202501290MIA,CLE,L,1L,112.9,112.31,0.576,66.3,8.4,49.0,12.4
47,202502010SAS,SAS,W,1W,112.87,112.75,0.576,66.4,8.4,48.9,12.4
48,202502040CHI,CHI,L,1L,112.78,112.62,0.576,66.5,8.3,48.9,12.5
49,202502050PHI,PHI,W,1W,112.96,112.99,0.576,66.6,8.2,49.0,12.4
50,202502070BRK,BKN,L,1L,112.93,112.81,0.577,66.5,8.1,49.1,12.6
51,202502100MIA,BOS,L,2L,112.51,112.74,0.574,66.6,8.2,49.0,12.6
