game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404140ORL,ORL,L,1L,,,,,,,
2,202410230PHI,PHI,W,1W,125.0,109.9,0.662,62.8,4.0,48.4,13.0
3,202410250MIL,CHI,L,1L,125.0,109.9,0.662,62.8,4.0,48.4,13.0
4,202410270BRK,BKN,L,2L,119.45,117.05,0.625,57.5,4.3,49.5,12.8
5,202410280BOS,BOS,L,3L,114.43,117.27,0.61,58.5,5.3,48.9,14.2
6,202410310MEM,MEM,L,4L,112.05,116.83,0.599,56.0,5.7,50.0,14.4
7,202411020MIL,CLE,L,5L,108.7,116.94,0.574,54.6,6.5,48.0,13.3
8,202411040CLE,CLE,L,6L,110.42,117.47,0.577,54.8,5.9,48.4,13.1
9,202411070MIL,UTA,W,1W,110.93,117.26,0.582,54.1,5.9,49.4,13.2
10,202411080NYK,NYK,L,1L,113.1,115.64,0.589,53.2,6.9,49.6,12.8
11,202411100MIL,BOS,L,2L,111.81,116.71,0.579,53.4,6.2,49.3,12.7
12,202411120MIL,TOR,W,1W,111.58,116.6,0.581,53.5,6.5,49.3,12.7
13,202411130MIL,DET,W,2W,110.55,113.83,0.573,54.6,7.4,49.0,12.8
14,202411160CHO,CHA,L,1L,111.27,113.73,0.576,54.9,7.6,49.2,12.6
15,202411180MIL,HOU,W,1W,111.95,114.31,0.577,55.7,7.5,48.7,12.3
16,202411200MIL,CHI,W,2W,111.12,113.24,0.575,55.7,7.5,48.4,12.5
17,202411220MIL,IND,W,3W,112.15,113.02,0.58,56.5,7.5,49.1,12.4
18,202411230MIL,CHA,W,4W,112.89,112.98,0.585,57.3,7.6,49.0,12.6
19,202411260MIA,MIA,W,5W,113.44,113.18,0.587,56.7,7.4,49.2,12.6
20,202411300MIL,WAS,W,6W,113.93,113.49,0.589,57.1,7.3,49.3,12.6
21,202412030DET,DET,W,7W,114.5,113.56,0.592,57.8,7.1,49.3,12.5
22,202412040MIL,ATL,L,1L,115.14,113.2,0.598,57.8,7.3,49.1,12.7
23,202412060BOS,BOS,L,2L,114.44,113.29,0.596,58.3,7.3,48.8,12.9
24,202412080BRK,BKN,W,1W,114.36,113.55,0.592,57.5,7.1,49.1,12.7
25,202412100MIL,ORL,W,2W,114.93,113.92,0.598,57.9,7.1,49.2,12.8
26,202412140MIL,ATL,W,3W,114.94,113.77,0.6,58.2,7.2,49.0,12.9
27,202412170OKC,OKC,W,4W,114.66,113.22,0.598,58.7,7.2,49.1,12.9
28,202412200CLE,CLE,L,1L,114.1,112.08,0.596,59.3,7.2,49.3,13.1
29,202412210MIL,WAS,W,1W,113.49,112.37,0.594,59.2,7.4,49.3,13.3
30,202412230CHI,CHI,W,2W,113.47,111.99,0.593,59.9,7.6,49.3,13.2
31,202412260MIL,BKN,L,1L,113.45,111.29,0.593,59.9,7.6,49.3,13.2
32,202412280CHI,CHI,L,2L,113.12,111.23,0.593,59.8,7.7,49.4,13.4
33,202412310IND,IND,W,1W,112.92,111.25,0.591,60.0,7.6,49.3,13.2
34,202501020MIL,BKN,L,1L,112.88,111.03,0.59,60.0,7.7,49.3,13.1
35,202501040MIL,POR,L,2L,112.82,111.11,0.588,59.8,7.6,49.2,13.1
36,202501060TOR,TOR,W,1W,112.47,110.9,0.586,59.8,7.8,49.1,13.0
37,202501080MIL,SAS,W,2W,112.84,110.64,0.59,60.4,7.8,49.3,13.1
38,202501100ORL,ORL,W,3W,113.09,110.51,0.59,60.3,7.8,49.5,13.1
39,202501120NYK,NYK,L,1L,113.11,110.51,0.59,59.8,7.9,49.5,13.0
40,202501140MIL,SAC,W,1W,112.96,111.33,0.588,59.6,7.8,49.3,13.0
41,202501150MIL,ORL,W,2W,113.34,111.37,0.589,59.7,7.7,49.4,12.9
42,202501170MIL,TOR,W,3W,113.42,110.81,0.591,59.6,7.7,49.7,13.0
43,202501190MIL,PHI,W,4W,113.82,110.83,0.593,59.6,7.7,49.7,13.0
44,202501230MIL,MIA,W,5W,114.09,110.84,0.593,59.9,7.6,49.9,12.9
45,202501250LAC,LAC,L,1L,114.38,110.53,0.593,60.1,7.5,49.9,12.7
46,202501270UTA,UTA,W,1W,114.42,110.88,0.594,60.2,7.4,49.9,12.7
47,202501280POR,POR,L,1L,114.67,110.87,0.596,60.3,7.3,49.9,12.7
48,202501310SAS,SAS,L,2L,114.71,111.29,0.595,60.3,7.4,49.7,12.6
49,202502020MIL,MEM,L,3L,114.74,111.94,0.594,60.2,7.3,49.6,12.5
50,202502030OKC,OKC,L,4L,114.77,112.29,0.594,60.4,7.3,49.4,12.5
51,202502050CHO,CHA,W,1W,114.32,112.46,0.592,60.6,7.3,49.2,12.5
52,202502070ATL,ATL,L,1L,114.46,112.42,0.593,60.6,7.3,49.2,12.5
53,202502090MIL,PHI,W,1W,114.38,112.48,0.592,60.8,7.3,49.2,12.4
54,202502100MIL,GSW,L,1L,114.72,112.7,0.592,60.8,7.3,49.3,12.4
55,202502120MIN,MIN,W,1W,114.61,112.89,0.592,60.6,7.2,49.2,12.5
56,202502200MIL,LAC,W,2W,114.34,112.62,0.591,60.6,7.2,49.1,12.5
57,202502210WAS,WAS,W,3W,114.4,112.6,0.592,60.6,7.2,49.1,12.5
58,202502230MIL,MIA,W,4W,114.2,112.37,0.591,60.6,7.2,49.1,12.6
59,202502250HOU,HOU,L,1L,114.37,112.46,0.592,60.5,7.2,49.1,12.5
60,202502270MIL,DEN,W,1W,114.07,112.24,0.591,60.4,7.3,48.9,12.5
