game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120MIN,ATL,W,1W,,,,,,,
2,202404140MIN,PHX,L,1L,,,,,,,
3,202410220LAL,LAL,L,2L,107.4,114.7,0.532,48.6,4.2,50.5,14.2
4,202410240SAC,SAC,W,1W,107.4,114.7,0.532,48.6,4.2,50.5,14.2
5,202410260MIN,TOR,W,2W,111.35,114.05,0.579,53.5,3.6,51.5,14.8
6,202410290MIN,DAL,L,1L,112.03,110.13,0.584,60.5,5.4,50.0,13.9
7,202411010MIN,DEN,W,1W,113.75,113.88,0.599,66.5,5.4,50.3,15.0
8,202411020SAS,SAS,L,1L,115.18,114.68,0.61,69.0,5.9,49.3,15.2
9,202411040MIN,CHA,W,1W,114.02,115.37,0.603,66.5,6.2,48.1,14.7
10,202411070CHI,CHI,W,2W,114.76,112.77,0.607,65.4,6.3,49.0,14.7
11,202411080MIN,POR,W,3W,117.65,113.88,0.615,64.4,6.4,49.8,14.3
12,202411100MIN,MIA,L,1L,117.9,111.92,0.615,64.8,6.7,50.6,14.6
13,202411120POR,POR,L,2L,115.63,110.35,0.604,64.6,7.3,50.8,14.9
14,202411130POR,POR,L,3L,114.94,111.41,0.608,64.1,7.8,50.2,15.5
15,202411150SAC,SAC,W,1W,113.56,110.99,0.597,62.4,8.2,49.9,15.2
16,202411170MIN,PHX,W,2W,114.32,111.66,0.597,61.8,8.2,49.5,14.7
17,202411210TOR,TOR,L,1L,115.06,112.37,0.601,61.9,8.2,49.1,14.6
18,202411240BOS,BOS,L,2L,114.62,112.45,0.598,61.0,8.5,49.1,14.7
19,202411260MIN,HOU,L,3L,114.7,112.81,0.595,60.4,8.1,49.4,14.2
20,202411270MIN,SAC,L,4L,114.06,112.61,0.59,59.8,8.0,49.7,14.2
21,202411290MIN,LAC,W,1W,113.58,112.83,0.591,60.7,8.1,49.2,14.2
22,202412020MIN,LAL,W,2W,112.82,112.05,0.589,61.8,8.2,49.6,14.6
23,202412040LAC,LAC,W,3W,112.93,110.67,0.591,62.4,8.3,49.7,14.6
24,202412060GSW,GSW,W,4W,112.7,109.21,0.59,63.1,8.6,49.8,14.5
25,202412080GSW,GSW,L,1L,112.37,108.28,0.589,63.8,8.8,50.0,14.7
26,202412130MIN,LAL,W,1W,112.34,108.8,0.59,63.7,8.7,49.9,14.7
27,202412150SAS,SAS,W,2W,111.77,107.95,0.586,63.2,8.8,49.8,14.6
28,202412190MIN,NYK,L,1L,111.53,107.3,0.582,63.3,8.9,49.8,14.5
29,202412210MIN,GSW,L,2L,111.32,108.24,0.582,63.6,8.9,49.4,14.4
30,202412230ATL,ATL,L,3L,111.15,108.57,0.58,64.0,8.8,49.4,14.3
31,202412250DAL,DAL,W,1W,110.92,108.9,0.578,64.5,8.9,49.6,14.5
32,202412270HOU,HOU,W,2W,111.04,108.87,0.578,64.3,8.9,49.6,14.3
33,202412290MIN,SAS,W,3W,111.29,109.15,0.58,64.1,8.9,49.5,14.3
34,202412310OKC,OKC,L,1L,111.4,109.27,0.578,63.8,8.7,49.8,14.1
35,202501020MIN,BOS,L,2L,111.27,109.46,0.579,63.5,8.6,49.9,14.4
36,202501040DET,DET,L,3L,111.97,110.32,0.582,63.5,8.3,50.1,14.4
37,202501060MIN,LAC,W,1W,111.81,110.63,0.582,63.4,8.3,49.9,14.5
38,202501070NOP,NOP,W,2W,111.81,110.61,0.581,63.3,8.3,49.9,14.4
39,202501090ORL,ORL,W,3W,111.56,110.19,0.58,63.4,8.3,50.0,14.4
40,202501110MIN,MEM,L,1L,111.55,109.79,0.578,63.4,8.3,50.1,14.3
41,202501130WAS,WAS,W,1W,111.82,110.16,0.581,63.8,8.3,50.0,14.4
42,202501150MIN,GSW,L,1L,112.07,110.08,0.582,63.4,8.3,50.3,14.4
43,202501170NYK,NYK,W,1W,112.53,110.62,0.582,63.2,8.2,50.2,14.3
44,202501180MIN,CLE,L,1L,112.99,110.65,0.585,63.0,8.1,50.3,14.3
45,202501200MEM,MEM,L,2L,113.23,111.13,0.585,63.0,8.0,50.2,14.2
46,202501220DAL,DAL,W,1W,113.09,111.08,0.583,63.1,7.9,50.3,14.1
47,202501250MIN,DEN,W,2W,113.15,111.17,0.583,63.3,8.0,50.3,14.1
48,202501270MIN,ATL,W,3W,113.69,111.09,0.585,63.5,8.1,50.4,14.0
49,202501290PHO,PHX,W,4W,113.39,110.67,0.583,63.2,8.2,50.4,14.1
50,202501300UTA,UTA,W,5W,113.62,110.78,0.586,63.2,8.2,50.3,14.1
51,202502010MIN,WAS,L,1L,114.25,110.93,0.589,63.5,8.2,50.6,14.1
52,202502030MIN,SAC,L,2L,114.0,110.79,0.587,63.8,8.2,50.6,14.1
53,202502050MIN,CHI,W,1W,114.09,110.99,0.587,63.8,8.2,50.5,13.9
54,202502060MIN,HOU,W,2W,114.48,111.05,0.587,63.8,8.1,50.7,13.8
55,202502080MIN,POR,W,3W,114.86,111.22,0.587,63.6,8.1,50.8,13.8
56,202502100CLE,CLE,L,1L,114.87,111.0,0.587,63.4,8.1,50.8,13.8
57,202502120MIN,MIL,L,2L,114.7,111.29,0.586,63.1,8.1,50.7,13.8
58,202502130MIN,OKC,W,1W,114.4,111.08,0.584,63.2,8.0,50.8,13.7
59,202502210HOU,HOU,L,1L,114.54,111.0,0.583,63.2,8.0,50.8,13.6
60,202502230MIN,OKC,L,2L,114.46,111.08,0.582,63.1,8.0,50.6,13.5
61,202502240OKC,OKC,W,1W,114.67,111.47,0.583,63.0,8.0,50.7,13.5
62,202502270LAL,LAL,L,1L,114.71,111.52,0.583,63.1,7.9,50.7,13.4
63,202502280UTA,UTA,L,2L,114.58,111.6,0.582,63.2,8.0,50.6,13.4
64,202503020PHO,PHX,W,1W,114.58,111.66,0.581,63.5,8.1,50.4,13.3
65,202503040MIN,PHI,W,2W,114.6,111.44,0.581,63.6,8.3,50.2,13.2
66,202503050CHO,CHA,W,3W,114.83,111.5,0.583,63.6,8.2,50.2,13.2
67,202503070MIA,MIA,W,4W,115.09,111.56,0.584,63.6,8.3,50.1,13.1
68,202503090MIN,SAS,W,5W,115.06,111.56,0.584,63.7,8.2,50.1,13.1
69,202503120DEN,DEN,W,6W,115.53,111.81,0.586,63.8,8.2,50.2,13.1
70,202503140MIN,ORL,W,7W,115.61,111.63,0.586,63.9,8.2,50.2,13.1
71,202503160MIN,UTA,W,8W,115.64,111.61,0.587,63.9,8.2,50.4,13.1
72,202503170MIN,IND,L,1L,115.76,111.43,0.587,63.8,8.3,50.4,13.1
73,202503190MIN,NOP,L,2L,115.75,111.51,0.587,63.7,8.3,50.4,13.0
74,202503210MIN,NOP,W,1W,115.76,111.64,0.587,63.7,8.3,50.3,13.0
75,202503240IND,IND,L,1L,116.08,111.42,0.588,64.0,8.4,50.3,13.0
76,202503280MIN,PHX,W,1W,115.87,111.5,0.588,63.9,8.3,50.3,13.1
77,202503300MIN,DET,W,2W,116.12,111.59,0.589,63.9,8.4,50.4,13.1
78,202504010DEN,DEN,W,3W,116.26,111.52,0.589,63.8,8.3,50.5,13.0
79,202504030BRK,BKN,W,4W,116.36,111.68,0.588,63.8,8.3,50.5,13.0
80,202504050PHI,PHI,W,5W,116.32,111.49,0.589,63.9,8.2,50.6,13.0
81,202504080MIL,MIL,L,1L,116.4,111.56,0.589,63.8,8.2,50.7,13.0
82,202504100MEM,MEM,W,1W,116.31,111.63,0.588,63.8,8.2,50.7,13.0
83,202504110MIN,BKN,W,2W,116.55,111.74,0.59,63.7,8.1,50.7,13.0
84,202504130MIN,UTA,W,3W,116.69,111.58,0.591,63.7,8.1,50.8,13.0
