game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404160NOP,LAL,L,1L,,,,,,,
2,202404190NOP,SAC,W,1W,,,,,,,
3,202410230NOP,CHI,W,2W,113.8,102.7,0.579,64.4,13.9,47.2,10.1
4,202410250POR,POR,W,3W,113.8,102.7,0.579,64.4,13.9,47.2,10.1
5,202410270POR,POR,L,1L,108.05,101.55,0.553,66.9,12.8,47.5,11.2
6,202410290GSW,GSW,L,2L,107.7,110.97,0.543,65.7,11.6,46.1,12.4
7,202410300GSW,GSW,L,3L,108.03,115.1,0.564,63.6,9.8,48.7,14.8
8,202411010NOP,IND,W,1W,106.06,115.02,0.541,65.4,9.3,49.7,14.5
9,202411030NOP,ATL,L,1L,109.22,115.52,0.546,64.0,9.1,50.4,13.2
10,202411040NOP,POR,L,2L,110.03,117.66,0.549,63.0,8.7,50.5,13.5
11,202411060NOP,CLE,L,3L,109.72,118.81,0.549,63.0,8.3,50.1,13.7
12,202411080ORL,ORL,L,4L,111.18,120.26,0.555,61.5,8.3,49.2,13.2
13,202411110NOP,BKN,L,5L,109.13,120.09,0.548,61.0,8.5,48.5,13.3
14,202411130OKC,OKC,L,6L,109.5,119.66,0.546,62.2,9.0,48.6,13.0
15,202411150NOP,DEN,W,1W,108.22,119.13,0.54,62.1,8.5,50.0,13.7
16,202411160NOP,LAL,L,1L,108.32,117.82,0.539,61.7,8.2,50.7,13.7
17,202411190DAL,DAL,L,2L,108.59,117.8,0.539,62.2,8.2,50.9,13.8
18,202411200CLE,CLE,L,3L,107.43,118.77,0.538,62.2,8.2,50.4,14.2
19,202411220NOP,GSW,L,4L,107.36,119.85,0.535,62.0,8.3,50.0,13.9
20,202411250IND,IND,L,5L,107.52,119.52,0.535,62.3,8.4,49.7,13.6
21,202411270NOP,TOR,L,6L,107.51,119.06,0.537,63.2,8.4,49.8,13.6
22,202411290MEM,MEM,L,7L,106.57,118.83,0.533,63.4,8.6,49.7,13.6
23,202412010NYK,NYK,L,8L,106.55,118.73,0.533,62.3,8.6,49.6,13.6
24,202412020ATL,ATL,L,9L,105.55,118.73,0.527,62.1,8.9,49.2,13.5
25,202412050NOP,PHX,W,1W,105.52,118.61,0.527,61.4,9.1,49.0,13.5
26,202412070NOP,OKC,L,1L,106.23,118.67,0.53,60.9,9.3,49.0,13.4
27,202412080SAS,SAS,L,2L,106.31,118.65,0.533,61.1,9.5,48.8,13.5
28,202412120NOP,SAC,L,3L,106.7,118.74,0.533,61.1,9.5,48.6,13.2
29,202412150IND,IND,L,4L,106.97,118.63,0.535,60.9,9.3,48.5,13.3
30,202412190HOU,HOU,L,5L,106.83,118.6,0.533,60.4,9.4,48.7,13.4
31,202412210NOP,NYK,L,6L,107.04,119.11,0.534,60.4,9.3,48.6,13.3
32,202412220NOP,DEN,L,7L,106.87,118.93,0.533,60.6,9.3,48.7,13.4
33,202412260NOP,HOU,L,8L,106.93,118.67,0.533,61.1,9.4,48.5,13.3
34,202412270NOP,MEM,L,9L,107.0,118.91,0.533,61.3,9.5,48.4,13.3
35,202412300NOP,LAC,L,10L,107.2,118.96,0.534,61.6,9.6,48.5,13.3
36,202501010MIA,MIA,L,11L,107.49,118.99,0.537,61.9,9.7,48.5,13.4
37,202501030NOP,WAS,W,1W,107.64,119.14,0.539,61.9,9.5,48.4,13.3
38,202501050WAS,WAS,W,2W,108.35,119.18,0.542,62.3,9.5,48.2,13.1
39,202501070NOP,MIN,L,1L,108.44,118.63,0.542,62.5,9.5,48.3,13.1
40,202501080NOP,POR,L,2L,108.1,118.2,0.54,62.6,9.5,48.3,13.0
41,202501100PHI,PHI,W,1W,108.11,118.49,0.54,62.2,9.6,48.3,13.1
42,202501120BOS,BOS,L,1L,108.6,118.49,0.541,62.4,9.5,48.4,13.1
43,202501140CHI,CHI,W,1W,108.84,118.51,0.543,62.3,9.5,48.2,13.0
44,202501150NOP,DAL,W,2W,109.06,118.35,0.543,62.7,9.5,48.1,12.9
45,202501170NOP,UTA,W,3W,109.19,118.2,0.544,62.5,9.5,48.2,12.8
46,202501200NOP,UTA,W,4W,109.67,118.17,0.545,62.7,9.5,48.5,12.7
47,202501240MEM,MEM,L,1L,109.71,117.94,0.546,62.9,9.6,48.3,12.7
48,202501250CHO,CHA,L,2L,110.09,118.43,0.548,62.9,9.5,48.2,12.7
49,202501270TOR,TOR,L,3L,109.74,118.59,0.547,63.0,9.4,48.2,12.7
50,202501290NOP,DAL,L,4L,109.47,118.31,0.546,62.8,9.4,48.1,12.6
51,202501310NOP,BOS,L,5L,109.94,118.61,0.548,62.8,9.5,48.0,12.5
52,202502030DEN,DEN,L,6L,109.98,118.51,0.549,62.2,9.4,48.2,12.6
53,202502050DEN,DEN,L,7L,110.26,118.89,0.549,62.4,9.4,48.2,12.5
54,202502080SAC,SAC,L,8L,110.39,119.33,0.55,62.4,9.3,48.0,12.5
55,202502100OKC,OKC,L,9L,110.33,119.19,0.55,62.4,9.3,48.0,12.5
56,202502120NOP,SAC,L,10L,110.12,119.48,0.55,62.2,9.2,48.0,12.6
57,202502130NOP,SAC,W,1W,110.23,119.56,0.55,62.2,9.2,47.9,12.5
58,202502210DAL,DAL,L,1L,110.55,119.6,0.552,62.3,9.2,47.8,12.5
59,202502230NOP,SAS,W,1W,110.39,119.42,0.551,62.4,9.2,47.9,12.5
60,202502250NOP,SAS,W,2W,110.4,118.96,0.551,62.4,9.0,48.1,12.5
61,202502270PHO,PHX,W,3W,110.33,118.64,0.55,62.4,9.1,48.3,12.5
62,202502280PHO,PHX,L,1L,110.66,118.69,0.55,62.2,9.0,48.3,12.4
63,202503020UTA,UTA,W,1W,110.72,118.92,0.551,62.2,9.0,48.3,12.4
64,202503040LAL,LAL,L,1L,110.92,118.87,0.552,62.3,9.0,48.4,12.4
65,202503060NOP,HOU,L,2L,111.02,119.19,0.552,62.3,9.0,48.3,12.3
66,202503080HOU,HOU,L,3L,110.87,119.11,0.551,62.2,9.0,48.3,12.3
67,202503090NOP,MEM,L,4L,110.95,119.51,0.551,62.2,9.0,48.3,12.3
68,202503110NOP,LAC,W,1W,110.92,119.4,0.551,62.3,8.9,48.2,12.3
69,202503130NOP,ORL,L,1L,111.21,119.45,0.553,62.4,8.9,48.3,12.4
70,202503150SAS,SAS,L,2L,111.09,119.54,0.552,62.5,8.8,48.3,12.4
71,202503170NOP,DET,L,3L,111.16,119.54,0.553,62.6,8.7,48.5,12.4
72,202503190MIN,MIN,W,1W,110.74,119.68,0.551,62.7,8.7,48.4,12.5
73,202503210MIN,MIN,L,1L,110.88,119.63,0.552,62.6,8.6,48.5,12.5
74,202503230DET,DET,L,2L,110.67,119.89,0.552,62.6,8.7,48.5,12.7
75,202503240NOP,PHI,W,1W,110.99,120.17,0.554,62.7,8.6,48.6,12.7
76,202503280NOP,GSW,L,1L,111.12,119.98,0.555,63.0,8.7,48.7,12.8
77,202503300NOP,CHA,W,1W,110.99,119.97,0.554,63.1,8.6,48.7,12.8
78,202504020LAC,LAC,L,1L,110.8,119.61,0.554,63.1,8.6,48.7,12.8
79,202504040LAL,LAL,L,2L,110.67,119.58,0.554,63.2,8.6,48.8,12.8
80,202504060NOP,MIL,L,3L,110.75,119.76,0.554,63.2,8.7,48.9,12.9
81,202504080BRK,BKN,L,4L,110.7,119.66,0.554,63.3,8.6,48.9,12.9
