game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120NYK,BKN,W,1W,,,,,,,
2,202404140NYK,CHI,W,2W,,,,,,,
3,202410220BOS,BOS,L,1L,121.6,147.3,0.641,46.5,2.2,45.9,12.4
4,202410250NYK,IND,W,1W,121.6,147.3,0.641,46.5,2.2,45.9,12.4
5,202410280NYK,CLE,L,1L,125.1,124.9,0.639,44.9,3.7,51.2,11.7
6,202410300MIA,MIA,W,1W,119.37,121.33,0.603,48.2,5.2,51.2,12.5
7,202411010DET,DET,W,2W,120.75,119.8,0.612,54.9,6.1,51.4,12.1
8,202411040HOU,HOU,L,1L,122.22,115.44,0.611,55.9,8.1,52.0,11.4
9,202411060ATL,ATL,L,2L,119.43,115.97,0.592,56.4,7.8,50.6,11.0
10,202411080NYK,MIL,W,1W,119.3,117.07,0.599,58.4,7.4,50.0,11.6
11,202411100IND,IND,L,1L,120.05,115.12,0.597,61.3,7.4,50.5,11.4
12,202411120PHI,PHI,W,1W,120.13,116.98,0.602,60.0,7.2,50.9,11.6
13,202411130NYK,CHI,L,1L,119.37,115.32,0.6,61.1,7.3,51.2,11.8
14,202411150NYK,BKN,W,1W,119.27,115.68,0.6,61.4,7.2,51.1,11.9
15,202411170NYK,BKN,W,2W,119.91,116.44,0.604,61.0,7.2,51.5,11.9
16,202411180NYK,WAS,W,3W,120.41,116.35,0.603,62.2,7.0,51.9,11.6
17,202411200PHO,PHX,W,4W,121.89,116.01,0.61,63.0,6.8,51.8,11.3
18,202411230UTA,UTA,L,1L,123.08,116.52,0.617,62.8,7.0,52.0,11.4
19,202411250DEN,DEN,W,1W,121.94,116.72,0.61,62.8,7.2,51.4,11.2
20,202411270DAL,DAL,L,1L,123.25,116.75,0.617,63.9,7.1,51.7,11.1
21,202411290CHO,CHA,W,1W,122.94,117.66,0.615,63.1,7.2,51.3,11.0
