game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404140OKC,DAL,W,1W,,,,,,,
2,202410240DEN,DEN,W,2W,101.7,86.8,0.48,53.5,9.0,46.2,10.1
3,202410260CHI,CHI,W,3W,101.7,86.8,0.48,53.5,9.0,46.2,10.1
4,202410270OKC,ATL,W,4W,100.6,84.85,0.486,50.1,11.1,46.6,9.0
5,202410300OKC,SAS,W,5W,109.2,90.8,0.531,53.1,11.6,47.0,8.9
6,202411010POR,POR,W,6W,108.45,91.62,0.54,56.9,13.3,46.0,10.0
7,202411020LAC,LAC,W,7W,114.06,96.02,0.565,57.7,13.4,47.9,10.2
8,202411040OKC,ORL,W,8W,112.47,95.28,0.565,59.6,13.0,47.5,10.4
9,202411060DEN,DEN,L,1L,110.63,93.67,0.564,59.5,12.8,47.9,11.2
10,202411080OKC,HOU,W,1W,110.96,96.36,0.562,60.3,12.9,47.7,11.2
11,202411100OKC,GSW,L,1L,112.38,97.33,0.57,59.4,12.5,47.5,11.0
12,202411110OKC,LAC,W,1W,112.93,100.51,0.568,59.4,11.6,47.5,10.9
13,202411130OKC,NOP,W,2W,114.85,103.01,0.576,60.0,12.0,46.6,10.8
14,202411150OKC,PHX,W,3W,114.72,102.27,0.575,59.3,12.5,45.6,10.5
15,202411170OKC,DAL,L,1L,113.9,101.12,0.569,59.2,12.0,46.1,10.4
16,202411190SAS,SAS,L,2L,114.69,102.97,0.572,59.8,12.0,45.3,10.2
17,202411200OKC,POR,W,1W,113.87,103.32,0.567,59.7,12.2,45.7,10.3
18,202411250SAC,SAC,W,2W,113.76,103.23,0.566,59.7,12.3,45.8,10.4
19,202411270GSW,GSW,W,3W,114.9,103.72,0.572,59.7,12.0,46.6,10.6
20,202411290LAL,LAL,W,4W,114.28,103.51,0.57,60.0,11.9,46.5,10.7
21,202412010HOU,HOU,L,1L,114.07,103.41,0.567,59.7,11.9,46.7,10.7
22,202412030OKC,UTA,W,1W,114.22,104.25,0.566,60.2,11.6,46.8,10.4
23,202412050TOR,TOR,W,2W,115.45,104.6,0.569,60.3,11.9,46.8,10.3
24,202412070NOP,NOP,W,3W,115.93,103.92,0.57,60.1,12.1,47.1,10.0
25,202412100OKC,DAL,W,4W,116.02,104.11,0.572,60.1,12.1,47.5,10.4
26,202412140OKC,HOU,W,5W,116.15,104.14,0.572,60.2,12.2,47.8,10.4
27,202412170OKC,MIL,L,1L,115.94,103.82,0.573,59.9,12.2,47.7,10.5
28,202412190ORL,ORL,W,1W,114.71,103.68,0.567,59.3,12.1,47.6,10.4
29,202412200MIA,MIA,W,2W,114.49,103.64,0.568,59.3,12.2,47.5,10.5
30,202412230OKC,WAS,W,3W,114.2,103.49,0.567,59.4,12.1,47.7,10.6
31,202412260IND,IND,W,4W,114.32,103.38,0.566,59.1,12.2,47.9,10.6
32,202412280CHO,CHA,W,5W,114.62,103.84,0.566,58.7,11.9,47.9,10.3
33,202412290OKC,MEM,W,6W,114.32,103.51,0.566,59.0,11.8,48.1,10.5
34,202412310OKC,MIN,W,7W,114.56,103.38,0.567,59.3,11.7,48.0,10.4
35,202501020OKC,LAC,W,8W,114.58,103.49,0.567,59.3,11.9,48.0,10.4
36,202501030OKC,NYK,W,9W,114.7,103.39,0.568,59.5,11.8,47.8,10.4
37,202501050OKC,BOS,W,10W,114.87,103.59,0.57,59.6,11.8,47.9,10.4
38,202501080CLE,CLE,L,1L,114.68,103.35,0.57,59.5,11.8,47.9,10.6
39,202501100NYK,NYK,W,1W,114.86,104.02,0.571,59.9,11.7,47.9,10.6
40,202501120WAS,WAS,W,2W,115.16,103.94,0.574,59.4,11.6,48.0,10.7
41,202501140PHI,PHI,W,3W,115.54,103.61,0.575,59.4,11.6,48.3,10.7
42,202501160OKC,CLE,W,4W,115.68,103.64,0.577,59.7,11.5,48.4,10.8
43,202501170DAL,DAL,L,1L,115.93,103.72,0.578,59.4,11.5,48.3,10.7
44,202501190OKC,BKN,W,1W,115.65,103.93,0.576,59.6,11.4,48.4,10.8
45,202501220OKC,UTA,W,2W,116.01,103.94,0.579,60.0,11.4,48.5,10.8
46,202501230OKC,DAL,L,1L,116.15,104.15,0.579,59.7,11.4,48.3,10.7
47,202501260POR,POR,W,1W,116.12,104.53,0.579,59.7,11.4,48.2,10.8
48,202501290GSW,GSW,L,1L,116.37,104.79,0.579,59.7,11.3,48.2,10.7
49,202502010OKC,SAC,W,1W,116.19,105.0,0.577,59.5,11.2,48.4,10.7
50,202502030OKC,MIL,W,2W,116.6,104.98,0.578,59.6,11.1,48.7,10.7
51,202502050OKC,PHX,W,3W,116.69,104.73,0.579,59.5,11.1,49.0,10.8
52,202502070OKC,TOR,W,4W,117.13,104.8,0.58,59.2,11.1,49.1,10.7
53,202502080MEM,MEM,W,5W,117.33,104.99,0.58,59.3,11.1,49.2,10.7
54,202502100OKC,NOP,W,6W,117.54,105.18,0.58,59.4,11.0,49.3,10.6
55,202502120OKC,MIA,W,7W,117.86,105.07,0.581,59.4,11.1,49.4,10.6
56,202502130MIN,MIN,L,1L,117.91,105.09,0.582,59.2,11.1,49.3,10.6
57,202502210UTA,UTA,W,1W,117.7,105.4,0.58,59.4,10.9,49.3,10.6
58,202502230MIN,MIN,W,2W,117.92,105.43,0.581,59.8,10.9,49.4,10.6
59,202502240OKC,MIN,L,1L,118.2,105.8,0.583,59.9,10.9,49.3,10.6
60,202502260BRK,BKN,W,1W,118.14,105.99,0.582,59.9,10.9,49.3,10.6
61,202502280ATL,ATL,W,2W,118.34,106.26,0.583,59.8,10.8,49.3,10.6
62,202503020SAS,SAS,W,3W,118.48,106.36,0.584,60.1,10.8,49.3,10.5
