game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404140ORL,MIL,W,1W,,,,,,,
2,202410230MIA,MIA,W,2W,120.7,100.9,0.549,68.3,8.3,58.2,11.7
3,202410250ORL,BKN,W,3W,120.7,100.9,0.549,68.3,8.3,58.2,11.7
4,202410260MEM,MEM,L,1L,119.5,101.95,0.599,70.0,9.2,54.8,12.2
5,202410280ORL,IND,W,1W,114.9,107.3,0.585,65.6,9.3,53.0,13.5
6,202410300CHI,CHI,L,1L,116.2,109.5,0.588,65.9,8.8,52.5,13.4
7,202411010CLE,CLE,L,2L,112.92,108.18,0.575,67.0,8.8,50.8,13.0
8,202411030DAL,DAL,L,3L,111.75,109.58,0.57,66.4,9.0,49.7,12.8
9,202411040OKC,OKC,L,4L,107.94,109.39,0.548,65.7,8.8,49.0,12.8
10,202411060IND,IND,L,5L,104.95,108.16,0.537,66.1,9.2,49.0,13.3
11,202411080ORL,NOP,W,1W,106.21,109.88,0.543,65.6,8.9,49.3,13.5
12,202411100ORL,WAS,W,2W,107.45,107.96,0.549,65.3,8.9,50.2,13.5
13,202411120ORL,CHA,W,3W,109.51,107.33,0.553,64.9,8.7,50.6,13.2
14,202411130ORL,IND,W,4W,109.68,105.64,0.554,64.3,8.9,50.3,12.9
15,202411150ORL,PHI,W,5W,108.79,104.75,0.551,65.3,8.9,50.6,13.2
16,202411180PHO,PHX,W,6W,108.69,103.99,0.552,63.8,9.1,51.0,13.4
17,202411200LAC,LAC,L,1L,109.67,104.53,0.557,64.3,8.9,50.7,13.3
18,202411210LAL,LAL,W,1W,108.95,104.86,0.556,64.2,9.1,49.5,13.3
19,202411230ORL,DET,W,2W,109.7,105.79,0.558,64.7,9.0,50.0,13.4
20,202411250CHO,CHA,W,3W,110.49,106.11,0.559,64.6,9.3,50.4,13.4
21,202411270ORL,CHI,W,4W,110.01,105.24,0.554,64.2,9.5,50.0,13.1
22,202411290BRK,BKN,W,5W,110.88,105.68,0.559,64.2,9.5,50.0,13.0
23,202412010BRK,BKN,W,6W,111.64,105.56,0.564,64.3,9.7,50.2,13.1
24,202412030NYK,NYK,L,1L,111.28,105.1,0.564,64.5,9.7,50.7,13.4
25,202412040PHI,PHI,W,1W,110.89,105.6,0.563,63.9,9.7,50.6,13.4
26,202412060PHI,PHI,L,1L,111.19,105.94,0.563,63.4,9.9,50.8,13.4
27,202412080ORL,PHX,W,1W,110.69,105.98,0.563,63.4,9.8,50.8,13.7
28,202412100MIL,MIL,L,1L,110.87,106.15,0.563,62.5,9.9,50.9,13.6
29,202412150ORL,NYK,L,2L,110.84,106.49,0.561,61.9,9.9,51.0,13.5
30,202412190ORL,OKC,L,3L,110.32,106.46,0.559,62.1,9.9,50.9,13.6
31,202412210ORL,MIA,W,1W,110.06,106.54,0.559,62.4,9.7,51.0,13.7
32,202412230ORL,BOS,W,2W,110.46,106.82,0.561,62.2,9.6,51.1,13.6
33,202412260ORL,MIA,L,1L,110.25,106.62,0.562,62.5,9.6,51.0,13.8
34,202412270ORL,NYK,L,2L,109.7,106.21,0.56,61.8,9.7,51.2,14.0
