game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404140PHI,BKN,W,1W,,,,,,,
2,202404170PHI,MIA,W,2W,,,,,,,
3,202410230PHI,MIL,L,1L,109.9,125.0,0.496,43.9,4.0,51.6,8.3
4,202410250TOR,TOR,L,2L,109.9,125.0,0.496,43.9,4.0,51.6,8.3
5,202410270IND,IND,W,1W,108.0,119.5,0.518,54.7,7.5,42.9,11.1
6,202410300PHI,DET,L,1L,108.47,114.87,0.521,48.4,7.7,48.3,12.5
7,202411020PHI,MEM,L,2L,107.58,115.15,0.521,49.1,7.7,47.0,11.6
8,202411040PHO,PHX,L,3L,107.32,116.74,0.526,51.5,8.4,45.4,11.8
9,202411060LAC,LAC,L,4L,109.27,117.47,0.54,54.2,8.7,45.6,12.1
10,202411080LAL,LAL,L,5L,109.3,118.24,0.549,53.2,9.0,46.6,13.2
11,202411100PHI,CHA,W,1W,109.17,118.28,0.543,55.6,8.7,47.0,12.4
12,202411120PHI,NYK,L,1L,108.33,116.21,0.545,56.2,8.6,46.7,12.7
13,202411130PHI,CLE,L,2L,107.54,115.84,0.543,56.7,8.7,46.6,12.8
14,202411150ORL,ORL,L,3L,108.02,116.34,0.544,56.9,8.7,46.9,12.6
15,202411180MIA,MIA,L,4L,106.87,115.58,0.542,57.6,8.9,46.6,13.1
16,202411200MEM,MEM,L,5L,105.4,114.74,0.539,58.7,9.0,46.5,13.2
17,202411220PHI,BKN,W,1W,106.02,115.13,0.541,58.3,9.2,46.7,13.2
18,202411240PHI,LAC,L,1L,107.15,114.56,0.542,58.5,9.5,47.2,13.0
19,202411270PHI,HOU,L,2L,106.93,115.59,0.54,58.9,9.4,46.9,13.0
20,202411300DET,DET,W,1W,106.85,115.38,0.54,58.0,9.5,46.8,13.0
21,202412030CHO,CHA,W,2W,107.06,114.28,0.543,57.3,9.5,47.2,13.1
22,202412040PHI,ORL,L,1L,107.79,114.29,0.546,57.9,9.5,46.8,13.0
23,202412060PHI,ORL,W,1W,108.08,114.48,0.547,57.9,9.6,46.8,13.0
24,202412080CHI,CHI,W,2W,108.04,113.73,0.548,58.0,9.7,46.9,13.1
25,202412130PHI,IND,L,1L,107.92,113.0,0.548,58.0,9.6,47.6,13.2
26,202412160CHO,CHA,W,1W,108.0,113.47,0.547,57.6,9.4,47.8,13.2
27,202412200PHI,CHA,W,2W,108.44,113.15,0.552,57.3,9.6,48.0,13.3
28,202412210CLE,CLE,L,1L,108.83,112.92,0.553,58.0,9.8,48.0,13.4
29,202412230PHI,SAS,W,1W,108.62,113.64,0.552,57.2,9.7,47.9,13.3
30,202412250BOS,BOS,W,2W,108.61,113.26,0.551,57.2,9.7,48.1,13.2
31,202412280UTA,UTA,W,3W,109.08,113.42,0.553,57.6,9.7,47.9,12.9
32,202412300POR,POR,W,4W,109.41,113.49,0.554,57.7,9.9,47.6,12.7
33,202501010SAC,SAC,L,1L,109.98,113.18,0.559,57.3,10.0,47.7,12.9
34,202501020GSW,GSW,L,2L,110.0,113.3,0.56,57.4,10.0,47.5,13.0
35,202501040BRK,BKN,W,1W,109.88,114.15,0.56,57.2,10.1,47.4,13.0
36,202501060PHI,PHX,L,1L,110.12,113.42,0.562,57.7,10.1,47.7,13.0
37,202501080PHI,WAS,W,1W,109.94,113.45,0.561,57.7,10.0,47.8,12.9
38,202501100PHI,NOP,L,1L,110.15,113.38,0.561,57.6,9.9,47.6,12.8
39,202501120ORL,ORL,L,2L,110.39,113.76,0.561,57.5,9.8,47.6,12.7
40,202501140PHI,OKC,L,3L,110.24,113.66,0.562,57.3,9.9,47.4,12.8
41,202501150PHI,NYK,L,4L,110.09,113.86,0.562,57.5,9.9,47.5,13.0
42,202501180IND,IND,L,5L,110.46,114.28,0.563,57.5,9.8,47.4,12.9
43,202501190MIL,MIL,L,6L,110.39,114.47,0.562,57.4,9.8,47.2,12.8
44,202501210DEN,DEN,L,7L,110.41,114.74,0.562,57.7,9.7,47.1,12.7
45,202501240PHI,CLE,W,1W,110.48,115.57,0.562,58.1,9.6,46.7,12.6
46,202501250CHI,CHI,W,2W,111.0,115.89,0.564,58.0,9.6,46.9,12.7
47,202501280PHI,LAL,W,3W,110.94,115.46,0.564,57.9,9.6,46.8,12.6
48,202501290PHI,SAC,W,4W,111.16,115.25,0.564,57.7,9.7,46.9,12.5
49,202501310PHI,DEN,L,1L,111.46,115.17,0.566,57.9,9.7,46.9,12.5
50,202502020PHI,BOS,L,2L,112.01,115.7,0.569,57.9,9.7,46.8,12.5
51,202502040PHI,DAL,W,1W,112.12,115.91,0.569,57.8,9.7,47.0,12.4
52,202502050PHI,MIA,L,1L,112.39,116.06,0.57,58.3,9.6,46.9,12.4
53,202502070DET,DET,L,2L,112.23,115.97,0.568,58.3,9.7,46.8,12.2
54,202502090MIL,MIL,L,3L,112.27,116.2,0.569,58.4,9.7,46.7,12.2
55,202502110PHI,TOR,L,4L,112.5,116.5,0.571,58.4,9.6,46.6,12.3
56,202502120BRK,BKN,L,5L,112.34,116.32,0.569,58.4,9.6,46.6,12.3
57,202502200PHI,BOS,L,6L,112.16,116.15,0.569,58.7,9.7,46.6,12.3
58,202502220PHI,BKN,L,7L,112.1,116.39,0.568,58.7,9.6,46.6,12.2
59,202502240PHI,CHI,L,8L,112.09,116.35,0.567,58.7,9.6,46.7,12.2
60,202502260NYK,NYK,L,9L,111.95,116.66,0.566,58.5,9.6,46.8,12.2
61,202503010PHI,GSW,W,1W,111.88,116.59,0.566,58.4,9.7,46.8,12.2
62,202503030PHI,POR,L,1L,112.11,116.63,0.567,58.5,9.7,46.7,12.2
63,202503040MIN,MIN,L,2L,112.06,116.81,0.566,58.6,9.6,46.6,12.2
64,202503060BOS,BOS,L,3L,112.11,117.01,0.566,58.5,9.6,46.7,12.2
65,202503090PHI,UTA,W,1W,112.15,117.29,0.566,58.7,9.6,46.7,12.2
66,202503100ATL,ATL,L,1L,112.2,117.21,0.566,58.8,9.6,46.8,12.2
67,202503120TOR,TOR,L,2L,112.33,117.4,0.567,58.9,9.5,46.7,12.2
68,202503140PHI,IND,L,3L,112.14,117.32,0.566,58.7,9.6,46.6,12.1
69,202503160DAL,DAL,W,1W,112.05,117.34,0.565,58.3,9.6,46.6,12.2
70,202503170HOU,HOU,L,1L,112.26,117.4,0.566,58.1,9.6,46.6,12.1
71,202503190OKC,OKC,L,2L,112.47,117.64,0.568,57.9,9.6,46.5,12.1
72,202503210SAS,SAS,L,3L,112.3,117.87,0.566,58.0,9.5,46.4,12.1
73,202503230ATL,ATL,L,4L,112.39,117.99,0.568,58.1,9.6,46.5,12.2
74,202503240NOP,NOP,L,5L,112.46,118.16,0.568,58.2,9.5,46.5,12.2
75,202503260PHI,WAS,L,6L,112.38,118.2,0.567,58.1,9.6,46.4,12.2
76,202503290PHI,MIA,L,7L,112.47,118.28,0.567,58.0,9.5,46.5,12.1
77,202503300PHI,TOR,L,8L,112.34,118.41,0.567,58.3,9.5,46.4,12.1
78,202504010NYK,NYK,L,9L,112.22,118.43,0.567,58.3,9.5,46.5,12.2
79,202504030PHI,MIL,L,10L,111.99,118.31,0.566,58.4,9.5,46.5,12.3
80,202504050PHI,MIN,L,11L,112.04,118.46,0.566,58.5,9.5,46.6,12.3
81,202504070MIA,MIA,L,12L,112.1,118.5,0.566,58.6,9.5,46.5,12.3
82,202504090WAS,WAS,W,1W,112.06,118.54,0.565,58.5,9.4,46.5,12.2
83,202504110PHI,ATL,L,1L,112.15,118.31,0.565,58.4,9.4,46.6,12.3
84,202504130PHI,CHI,L,2L,112.11,118.38,0.565,58.5,9.4,46.6,12.3
