game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120SAC,SAC,W,1W,,,,,,,
2,202404140MIN,MIN,W,2W,,,,,,,
3,202410230LAC,LAC,W,3W,104.6,101.9,0.624,65.8,10.8,45.2,19.1
4,202410250LAL,LAL,L,1L,104.6,101.9,0.624,65.8,10.8,45.2,19.1
5,202410260PHO,DAL,W,1W,111.15,113.4,0.636,74.5,9.4,46.5,17.6
6,202410280PHO,LAL,W,2W,113.47,110.8,0.621,73.8,7.3,47.9,15.1
7,202410310LAC,LAC,W,3W,113.0,109.97,0.608,68.5,7.3,48.4,13.9
8,202411020PHO,POR,W,4W,115.98,112.32,0.619,68.6,8.3,47.7,13.4
9,202411040PHO,PHI,W,5W,113.38,109.35,0.6,71.0,7.6,48.5,13.2
10,202411060PHO,MIA,W,6W,114.49,110.73,0.604,69.0,7.4,49.2,13.1
11,202411080DAL,DAL,W,7W,115.21,111.54,0.607,69.0,7.1,49.5,13.4
12,202411100PHO,SAC,L,1L,116.48,113.09,0.607,68.0,7.1,49.4,12.8
13,202411120UTA,UTA,W,1W,115.13,112.86,0.599,68.0,7.3,49.0,12.5
14,202411130SAC,SAC,L,1L,116.32,113.47,0.602,66.3,7.2,49.3,12.2
15,202411150OKC,OKC,L,2L,115.69,115.09,0.592,66.1,7.7,49.1,11.9
16,202411170MIN,MIN,L,3L,113.51,114.25,0.58,67.0,7.6,49.1,12.2
17,202411180PHO,ORL,L,4L,114.09,114.99,0.585,66.7,7.7,49.6,12.7
18,202411200PHO,NYK,L,5L,113.95,115.56,0.581,67.0,7.6,49.9,12.6
19,202411260PHO,LAL,W,1W,114.56,117.08,0.583,67.0,7.7,49.6,12.6
20,202411270PHO,BKN,L,1L,115.24,116.03,0.585,66.6,7.7,49.8,12.3
21,202411300PHO,GSW,W,1W,115.25,116.55,0.589,66.3,7.7,49.8,12.5
22,202412030PHO,SAS,W,2W,115.36,116.15,0.591,67.1,7.5,49.9,12.6
23,202412050NOP,NOP,L,1L,114.81,115.02,0.591,67.2,7.6,49.7,12.7
24,202412070MIA,MIA,L,2L,115.06,115.34,0.594,67.5,7.7,49.7,12.8
25,202412080ORL,ORL,L,3L,115.25,116.01,0.594,68.1,7.8,49.7,12.8
26,202412130UTA,UTA,W,1W,115.04,115.98,0.594,67.8,7.7,49.6,13.0
27,202412150PHO,POR,W,2W,116.17,116.72,0.598,68.2,7.9,49.7,12.8
28,202412190PHO,IND,L,1L,116.34,116.57,0.598,67.6,7.8,49.7,12.7
29,202412210PHO,DET,L,2L,116.08,116.65,0.597,67.7,7.8,49.6,12.8
30,202412230DEN,DEN,L,3L,116.43,117.28,0.601,67.7,7.8,49.7,13.0
31,202412250PHO,DEN,W,1W,115.71,117.56,0.598,67.7,7.8,49.5,13.0
32,202412270PHO,DAL,L,1L,115.89,117.3,0.597,68.0,7.9,49.5,12.8
33,202412280GSW,GSW,L,2L,115.24,116.92,0.593,68.1,8.1,49.5,12.9
34,202412310PHO,MEM,L,3L,115.04,116.8,0.591,67.7,8.0,49.5,12.9
35,202501040IND,IND,L,4L,114.73,116.59,0.589,67.6,8.1,49.3,12.9
36,202501060PHI,PHI,W,1W,114.69,117.07,0.59,68.0,7.9,49.2,12.9
37,202501070CHO,CHA,L,1L,114.69,116.68,0.591,68.3,7.9,49.2,12.9
38,202501090PHO,ATL,W,1W,114.37,116.62,0.589,68.3,7.8,48.9,12.8
39,202501110PHO,UTA,W,2W,114.83,116.78,0.591,68.3,7.7,49.2,12.9
40,202501120PHO,CHA,W,3W,115.11,116.78,0.591,68.0,7.8,49.0,12.8
41,202501140ATL,ATL,L,1L,115.28,116.72,0.592,68.2,7.8,48.8,12.8
42,202501160WAS,WAS,W,1W,115.32,116.84,0.593,68.1,7.9,48.6,12.7
43,202501180DET,DET,W,2W,115.58,116.89,0.594,68.3,7.9,48.7,12.8
44,202501200CLE,CLE,L,1L,115.82,117.0,0.594,68.0,7.9,48.8,12.7
45,202501220BRK,BKN,W,1W,115.33,117.13,0.594,67.9,7.8,48.6,12.8
46,202501250PHO,WAS,W,2W,115.38,116.53,0.593,67.8,7.8,48.6,12.7
47,202501270PHO,LAC,W,3W,115.55,116.44,0.593,67.6,7.7,48.8,12.7
48,202501290PHO,MIN,L,1L,115.6,116.43,0.593,67.4,7.8,48.8,12.7
