game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120POR,HOU,L,1L,,,,,,,
2,202404140SAC,SAC,L,2L,,,,,,,
3,202410230POR,GSW,L,3L,97.0,130.6,0.494,58.3,9.3,42.4,14.6
4,202410250POR,NOP,L,4L,97.0,130.6,0.494,58.3,9.3,42.4,14.6
5,202410270POR,NOP,W,1W,98.7,116.45,0.508,64.3,8.1,47.3,15.7
6,202410280SAC,SAC,L,1L,109.07,113.3,0.533,62.2,8.5,50.4,14.8
7,202410300LAC,LAC,W,1W,106.83,113.33,0.527,58.8,7.6,51.2,15.1
8,202411010POR,OKC,L,1L,107.42,112.4,0.531,56.3,8.0,50.8,14.4
9,202411020PHO,PHX,L,2L,108.45,116.42,0.54,58.5,8.0,49.7,14.7
10,202411040NOP,NOP,W,1W,106.46,114.13,0.523,56.7,8.2,49.3,13.3
11,202411070SAS,SAS,L,1L,109.01,113.31,0.536,55.3,8.5,49.8,13.1
12,202411080MIN,MIN,L,2L,109.37,114.73,0.537,55.4,8.4,49.5,13.0
13,202411100POR,MEM,L,3L,108.06,115.25,0.534,53.2,8.6,48.9,13.2
14,202411120POR,MIN,W,1W,105.56,115.81,0.522,53.2,8.6,48.6,13.6
15,202411130POR,MIN,W,2W,106.93,115.16,0.533,54.5,9.0,49.1,13.9
16,202411170POR,ATL,W,3W,106.89,113.87,0.536,53.8,9.1,49.4,14.2
17,202411200OKC,OKC,L,1L,107.25,113.44,0.537,55.0,9.6,49.2,14.4
18,202411220HOU,HOU,L,2L,106.89,113.36,0.538,55.1,9.4,49.4,14.8
19,202411230HOU,HOU,W,1W,105.49,113.23,0.531,55.2,9.3,49.2,15.0
20,202411250MEM,MEM,L,1L,105.66,112.58,0.531,54.7,9.1,49.6,15.0
21,202411270IND,IND,L,2L,105.14,113.04,0.525,55.2,9.1,49.2,14.6
22,202411290POR,SAC,W,1W,106.09,113.97,0.529,56.1,9.0,48.9,14.5
23,202412010POR,DAL,L,1L,106.67,113.7,0.532,56.2,9.0,48.9,14.4
24,202412030LAC,LAC,L,2L,107.7,114.68,0.541,56.3,8.9,49.2,14.6
25,202412060POR,UTA,L,3L,108.06,115.82,0.544,56.5,8.8,49.0,14.7
26,202412080LAL,LAL,L,4L,107.41,116.56,0.541,56.8,8.6,48.4,14.5
27,202412130POR,SAS,L,5L,107.24,116.4,0.54,56.4,8.4,48.7,14.5
28,202412150PHO,PHX,L,6L,107.84,116.72,0.545,56.6,8.5,48.6,14.6
29,202412190POR,DEN,W,1W,108.03,116.85,0.545,57.1,8.4,48.7,14.4
30,202412210SAS,SAS,L,1L,108.79,117.2,0.546,57.4,8.3,48.9,14.2
31,202412230DAL,DAL,L,2L,108.32,117.16,0.544,57.3,8.3,48.8,14.1
32,202412260POR,UTA,W,1W,108.28,117.63,0.543,57.2,8.2,49.0,14.2
33,202412280POR,DAL,W,2W,108.81,117.78,0.546,57.2,8.3,49.0,14.0
34,202412300POR,PHI,L,1L,109.29,117.85,0.548,57.3,8.3,49.2,14.0
35,202501020LAL,LAL,L,2L,109.13,118.12,0.548,57.4,8.3,49.2,14.2
36,202501040MIL,MIL,W,1W,109.15,118.12,0.55,57.5,8.2,49.3,14.3
37,202501060DET,DET,L,1L,109.01,117.62,0.551,57.3,8.2,49.5,14.4
38,202501080NOP,NOP,W,1W,109.23,117.68,0.553,57.6,8.1,49.4,14.4
39,202501090DAL,DAL,L,1L,109.78,117.43,0.555,57.4,8.2,49.4,14.4
40,202501110POR,MIA,L,2L,109.91,117.52,0.555,57.5,8.2,49.3,14.3
41,202501140POR,BKN,L,3L,109.6,117.56,0.553,57.7,8.1,49.4,14.3
42,202501160POR,LAC,L,4L,109.77,117.99,0.553,57.6,8.1,49.3,14.3
43,202501180POR,HOU,L,5L,109.31,118.08,0.551,57.9,8.1,49.2,14.3
44,202501190POR,CHI,W,1W,109.07,118.14,0.551,58.2,8.1,48.9,14.4
45,202501210MIA,MIA,W,2W,109.18,117.77,0.551,58.0,8.1,49.2,14.4
46,202501230ORL,ORL,W,3W,109.53,117.7,0.552,58.0,7.9,49.2,14.2
47,202501240CHO,CHA,W,4W,109.46,116.92,0.553,58.0,8.1,49.2,14.2
48,202501260POR,OKC,L,1L,109.44,116.61,0.552,57.9,8.2,49.2,14.2
49,202501280POR,MIL,W,1W,109.59,116.85,0.553,58.0,8.1,49.3,14.2
50,202501300POR,ORL,W,2W,110.03,116.84,0.554,58.0,8.0,49.5,14.2
51,202502010POR,PHX,W,3W,110.47,116.47,0.556,58.0,8.0,49.5,14.2
52,202502030POR,PHX,W,4W,110.81,116.3,0.557,57.9,8.1,49.6,14.1
53,202502040POR,IND,W,5W,111.03,116.37,0.558,58.2,8.0,49.7,14.0
54,202502060POR,SAC,W,6W,111.16,115.92,0.558,58.2,8.1,49.8,14.1
55,202502080MIN,MIN,L,1L,111.17,115.72,0.558,58.3,8.0,49.8,14.0
56,202502100DEN,DEN,L,2L,110.94,115.71,0.557,58.1,8.1,49.9,14.0
57,202502120DEN,DEN,L,3L,111.01,116.21,0.557,58.2,8.0,49.8,14.0
