game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404190NOP,NOP,L,1L,,,,,,,
2,202410240SAC,MIN,L,2L,113.4,115.3,0.59,55.3,6.9,47.5,8.5
3,202410260LAL,LAL,L,3L,113.4,115.3,0.59,55.3,6.9,47.5,8.5
4,202410280SAC,POR,W,1W,116.85,119.7,0.615,63.2,9.2,44.5,10.4
5,202410290UTA,UTA,W,2W,115.7,113.17,0.611,64.7,8.8,45.2,11.9
6,202411010ATL,ATL,W,3W,115.45,109.25,0.603,62.0,8.9,47.4,11.7
7,202411020TOR,TOR,L,1L,116.18,109.66,0.602,62.7,8.9,49.1,11.7
8,202411040MIA,MIA,W,1W,115.72,110.72,0.596,59.8,9.8,49.5,12.0
9,202411060SAC,TOR,W,2W,115.89,111.44,0.596,58.8,9.1,49.9,12.2
10,202411080SAC,LAC,L,1L,117.42,111.56,0.595,59.1,8.9,50.9,11.8
11,202411100PHO,PHX,W,1W,115.62,111.44,0.59,58.3,8.6,49.9,12.0
12,202411110SAS,SAS,L,1L,115.14,110.6,0.589,57.1,8.3,50.4,12.0
13,202411130SAC,PHX,W,1W,113.83,111.61,0.581,56.1,8.6,49.9,11.8
14,202411150SAC,MIN,L,1L,115.42,111.38,0.595,57.7,8.5,50.2,12.2
15,202411160SAC,UTA,W,1W,115.75,112.31,0.595,56.7,8.3,50.6,12.1
16,202411180SAC,ATL,L,1L,116.58,113.09,0.599,56.7,8.2,50.6,12.2
17,202411220LAC,LAC,L,2L,116.17,112.98,0.597,57.2,8.2,50.9,12.4
18,202411240SAC,BKN,L,3L,114.45,112.46,0.589,57.4,8.0,50.7,12.5
19,202411250SAC,OKC,L,4L,114.27,112.72,0.588,57.3,7.9,51.2,12.6
20,202411270MIN,MIN,W,1W,114.12,113.85,0.586,57.3,8.1,50.6,12.6
21,202411290POR,POR,L,1L,114.25,113.41,0.586,57.5,8.1,51.0,12.7
22,202412010SAC,SAS,L,2L,113.96,113.61,0.586,58.8,8.0,51.0,12.9
23,202412030SAC,HOU,W,1W,114.62,114.4,0.585,59.2,8.0,51.3,12.7
24,202412050MEM,MEM,L,1L,115.09,114.45,0.585,59.7,8.0,50.8,12.5
25,202412060SAS,SAS,W,1W,114.63,114.22,0.582,59.2,8.1,50.7,12.5
26,202412080SAC,UTA,W,2W,115.51,114.03,0.586,59.5,8.1,50.7,12.3
27,202412120NOP,NOP,W,3W,116.6,113.39,0.59,59.8,8.1,50.8,12.1
28,202412160SAC,DEN,L,1L,116.57,113.41,0.588,60.0,8.3,50.9,12.0
29,202412190SAC,LAL,L,2L,116.64,113.63,0.588,59.9,8.3,50.6,11.9
30,202412210SAC,LAL,L,3L,115.95,113.5,0.586,60.4,8.3,50.4,12.0
31,202412220SAC,IND,L,4L,115.48,113.26,0.584,60.5,8.3,50.4,12.1
32,202412260SAC,DET,L,5L,114.94,113.73,0.579,60.5,8.2,50.3,11.9
33,202412280LAL,LAL,L,6L,114.95,113.81,0.58,60.2,8.0,50.3,12.0
34,202412300SAC,DAL,W,1W,115.27,114.49,0.58,60.7,8.0,50.4,11.9
35,202501010SAC,PHI,W,2W,115.02,113.97,0.578,60.7,8.0,50.7,11.9
36,202501030SAC,MEM,W,3W,115.07,113.87,0.579,60.6,8.1,50.9,12.0
37,202501050GSW,GSW,W,4W,115.53,114.23,0.58,60.7,8.1,50.7,11.9
38,202501060SAC,MIA,W,5W,115.92,113.81,0.583,61.0,8.3,50.8,12.0
39,202501100BOS,BOS,W,6W,115.73,113.56,0.581,61.1,8.3,50.9,11.9
40,202501120CHI,CHI,W,7W,115.73,113.17,0.58,61.1,8.3,51.0,11.9
41,202501140MIL,MIL,L,1L,115.94,113.32,0.58,61.3,8.2,51.1,11.8
42,202501160SAC,HOU,W,1W,115.86,113.67,0.58,61.2,8.1,51.0,11.7
43,202501190SAC,WAS,W,2W,116.12,113.87,0.58,61.3,8.0,50.9,11.6
44,202501220SAC,GSW,W,3W,116.12,113.4,0.58,61.3,8.1,51.0,11.6
45,202501230DEN,DEN,L,1L,116.3,113.51,0.582,61.3,8.1,50.9,11.5
46,202501250NYK,NYK,L,2L,116.24,113.7,0.581,61.4,8.1,50.8,11.5
47,202501270BRK,BKN,W,1W,116.23,114.24,0.581,61.6,8.0,50.6,11.5
48,202501290PHI,PHI,L,1L,116.28,114.0,0.582,61.8,8.0,50.7,11.6
49,202502010OKC,OKC,L,2L,116.17,114.24,0.581,62.3,7.9,50.8,11.6
50,202502030MIN,MIN,W,1W,115.92,114.69,0.579,62.3,7.9,50.5,11.5
51,202502050SAC,ORL,L,1L,116.02,114.77,0.579,62.0,7.9,50.6,11.4
52,202502060POR,POR,L,2L,116.05,115.23,0.579,61.9,7.9,50.6,11.6
53,202502080SAC,NOP,W,1W,115.84,115.16,0.578,61.8,7.9,50.6,11.5
54,202502100DAL,DAL,W,2W,115.76,115.01,0.578,61.7,7.9,50.7,11.6
55,202502120NOP,NOP,W,3W,115.77,115.02,0.579,61.6,7.8,50.9,11.7
56,202502130NOP,NOP,L,1L,115.93,115.03,0.579,61.7,7.7,50.9,11.7
57,202502210SAC,GSW,L,2L,116.03,115.26,0.579,62.0,7.7,51.0,11.6
58,202502240SAC,CHA,W,1W,115.94,115.63,0.58,62.0,7.7,51.1,11.8
59,202502260UTA,UTA,W,2W,116.25,115.19,0.581,62.1,7.8,51.2,11.9
60,202503010HOU,HOU,W,3W,116.36,115.02,0.582,62.0,7.8,51.3,11.9
61,202503030DAL,DAL,W,4W,116.39,114.89,0.582,61.8,7.9,51.3,12.0
62,202503050DEN,DEN,L,1L,116.67,114.76,0.583,62.0,7.8,51.3,11.9
63,202503070SAC,SAS,W,1W,116.6,114.81,0.583,61.8,7.8,51.2,11.8
64,202503090LAC,LAC,L,1L,116.91,114.84,0.583,61.8,7.8,51.4,11.8
65,202503100SAC,NYK,L,2L,116.85,114.84,0.583,61.9,7.8,51.4,11.7
66,202503130GSW,GSW,L,3L,116.65,115.11,0.582,61.7,7.8,51.4,11.8
67,202503140PHO,PHX,L,4L,116.51,115.41,0.582,61.8,7.8,51.2,11.8
68,202503170SAC,MEM,W,1W,116.46,115.64,0.582,61.8,7.8,51.3,11.9
69,202503190SAC,CLE,W,2W,116.67,115.71,0.583,62.0,7.8,51.2,11.9
70,202503200SAC,CHI,L,1L,116.87,115.87,0.584,62.0,7.8,51.2,11.9
71,202503220SAC,MIL,L,2L,116.92,116.12,0.584,62.1,7.8,51.1,11.9
72,202503240SAC,BOS,L,3L,116.95,116.25,0.583,61.9,7.7,51.1,11.8
73,202503250SAC,OKC,L,4L,116.69,116.26,0.583,61.9,7.7,51.1,11.9
74,202503270SAC,POR,W,1W,116.52,116.32,0.582,62.2,7.8,51.0,11.8
75,202503290ORL,ORL,L,1L,116.77,116.27,0.584,62.0,7.8,51.1,11.9
76,202503310IND,IND,L,2L,116.46,116.38,0.583,61.9,7.7,51.0,12.0
77,202504020WAS,WAS,L,3L,116.33,116.28,0.583,61.7,7.7,51.0,12.0
78,202504040CHO,CHA,W,1W,116.3,116.32,0.582,61.7,7.8,51.1,11.9
79,202504060CLE,CLE,W,2W,116.47,116.18,0.582,61.7,7.7,51.1,11.9
80,202504070DET,DET,W,3W,116.54,116.16,0.583,61.6,7.7,51.0,11.9
81,202504090SAC,DEN,L,1L,116.77,116.27,0.584,61.4,7.7,51.1,11.9
82,202504110SAC,LAC,L,2L,116.88,116.48,0.584,61.3,7.6,51.1,11.8
83,202504130SAC,PHX,W,1W,116.81,116.44,0.583,61.4,7.6,51.1,11.8
84,202504160SAC,DAL,L,1L,116.87,116.35,0.584,61.4,7.6,51.1,11.8
