game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120SAS,DEN,W,1W,,,,,,,
2,202404140SAS,DET,W,2W,,,,,,,
3,202410240DAL,DAL,L,1L,107.3,118.1,0.564,76.9,5.9,51.0,16.4
4,202410260SAS,HOU,W,1W,107.3,118.1,0.564,76.9,5.9,51.0,16.4
5,202410280SAS,HOU,L,1L,109.0,112.9,0.581,68.0,6.0,55.0,16.0
6,202410300OKC,OKC,L,2L,109.23,113.63,0.562,65.1,6.2,54.4,15.7
7,202410310UTA,UTA,W,1W,105.45,111.78,0.55,64.6,6.2,55.1,16.6
8,202411020SAS,MIN,W,2W,105.84,107.26,0.544,64.8,8.4,52.9,15.3
9,202411040LAC,LAC,L,1L,108.0,107.42,0.557,66.4,8.0,53.8,14.8
10,202411060HOU,HOU,L,2L,108.81,109.73,0.556,65.2,8.3,53.3,14.5
11,202411070SAS,POR,W,1W,107.54,111.67,0.556,63.8,8.0,52.6,15.0
12,202411090SAS,UTA,L,1L,109.6,111.73,0.567,65.6,8.2,52.6,15.0
13,202411110SAS,SAC,W,1W,109.18,111.19,0.569,66.6,8.1,51.8,15.3
14,202411130SAS,WAS,W,2W,110.32,110.24,0.577,67.1,7.8,52.0,15.4
15,202411150SAS,LAL,L,1L,112.13,111.35,0.584,68.1,7.8,51.8,14.8
16,202411160DAL,DAL,L,2L,112.72,112.41,0.585,68.6,7.6,51.6,14.6
17,202411190SAS,OKC,W,1W,111.41,112.36,0.576,69.1,7.8,51.2,14.3
18,202411210SAS,UTA,W,2W,111.2,111.69,0.578,69.9,7.6,51.1,14.6
19,202411230SAS,GSW,W,3W,111.6,111.59,0.578,70.4,7.6,51.1,14.2
20,202411260UTA,UTA,W,4W,111.77,111.12,0.577,70.8,7.5,51.0,13.9
21,202411270SAS,LAL,L,1L,112.71,111.37,0.579,70.6,7.8,50.9,13.6
22,202412010SAC,SAC,W,1W,112.43,112.17,0.577,70.6,7.7,50.6,13.7
23,202412030PHO,PHX,L,1L,113.31,112.96,0.583,70.9,7.7,50.2,13.7
24,202412050SAS,CHI,L,2L,112.36,112.55,0.575,71.1,7.7,50.4,13.6
25,202412060SAS,SAC,L,3L,112.56,113.38,0.574,70.5,7.8,50.1,13.4
26,202412080SAS,NOP,W,1W,112.43,114.36,0.573,70.6,7.8,50.1,13.3
27,202412130POR,POR,W,2W,112.8,114.43,0.573,70.3,7.8,50.3,13.2
28,202412150SAS,MIN,L,1L,113.26,114.74,0.575,70.4,7.7,50.4,13.2
29,202412190SAS,ATL,W,1W,112.43,114.4,0.571,71.3,7.6,50.4,13.4
30,202412210SAS,POR,W,2W,112.51,114.18,0.572,71.0,7.8,50.2,13.4
31,202412230PHI,PHI,L,1L,112.63,113.51,0.572,71.2,7.8,50.3,13.3
32,202412250NYK,NYK,L,2L,112.31,113.33,0.573,71.0,7.7,50.2,13.4
33,202412270BRK,BKN,W,1W,112.6,113.69,0.575,71.2,7.5,50.1,13.4
34,202412290MIN,MIN,L,1L,112.29,113.03,0.573,71.5,7.6,50.1,13.4
35,202412310SAS,LAC,W,1W,112.3,113.09,0.573,71.4,7.6,49.8,13.3
36,202501030DEN,DEN,W,2W,112.72,112.35,0.573,71.5,7.7,50.1,13.1
37,202501040SAS,DEN,L,1L,112.7,112.26,0.572,71.4,7.6,50.2,13.1
38,202501060CHI,CHI,L,2L,112.38,112.24,0.57,71.3,7.4,50.2,13.0
39,202501080MIL,MIL,L,3L,112.24,112.21,0.569,71.3,7.4,50.3,13.1
40,202501130LAL,LAL,W,1W,112.07,112.48,0.567,71.2,7.4,50.1,12.9
41,202501150SAS,MEM,L,1L,112.62,112.36,0.569,71.0,7.7,50.1,12.8
42,202501170SAS,MEM,L,2L,112.61,112.7,0.569,70.6,7.6,50.0,12.8
43,202501190MIA,MIA,L,3L,112.6,113.39,0.57,70.6,7.5,50.0,12.8
44,202501230IND,IND,W,1W,112.53,113.82,0.569,70.6,7.4,49.9,12.8
45,202501250SAS,IND,L,1L,113.11,113.67,0.573,70.7,7.5,50.3,12.9
46,202501290SAS,LAC,L,2L,112.74,114.17,0.571,70.5,7.5,50.2,13.1
47,202501310SAS,MIL,W,1W,112.85,114.52,0.572,70.3,7.6,49.8,13.0
48,202502010SAS,MIA,L,1L,113.49,114.55,0.573,70.4,7.6,49.9,12.8
49,202502030MEM,MEM,L,2L,113.34,114.42,0.572,70.4,7.6,49.9,12.8
50,202502050ATL,ATL,W,1W,113.01,114.44,0.571,70.5,7.6,49.9,12.9
51,202502070CHO,CHA,L,1L,113.11,114.49,0.572,70.5,7.8,49.8,12.8
52,202502080ORL,ORL,L,2L,113.33,114.7,0.571,70.3,7.8,49.7,12.7
53,202502100WAS,WAS,W,1W,113.38,114.74,0.573,70.2,7.8,49.5,12.7
54,202502120BOS,BOS,L,1L,113.69,114.84,0.575,70.1,7.9,49.6,12.7
55,202502200SAS,PHX,W,1W,113.52,114.9,0.573,70.1,7.9,49.4,12.6
56,202502210SAS,DET,L,1L,113.57,114.72,0.573,70.1,8.0,49.5,12.5
57,202502230NOP,NOP,L,2L,113.53,114.94,0.574,69.9,8.1,49.2,12.6
58,202502250NOP,NOP,L,3L,113.17,114.87,0.571,70.3,8.1,49.1,12.5
59,202502260HOU,HOU,L,4L,112.94,114.72,0.57,70.4,8.2,49.0,12.6
60,202503010MEM,MEM,W,1W,112.8,114.75,0.569,70.3,8.3,48.9,12.5
61,202503020SAS,OKC,L,1L,113.05,114.93,0.57,70.3,8.2,48.9,12.4
62,202503040SAS,BKN,W,1W,113.31,115.4,0.571,70.3,8.1,48.8,12.4
63,202503070SAC,SAC,L,1L,113.59,115.41,0.572,70.3,8.2,48.9,12.4
64,202503090MIN,MIN,L,2L,113.65,115.75,0.572,70.2,8.1,48.8,12.4
65,202503100SAS,DAL,L,3L,113.89,116.24,0.573,70.0,8.2,48.7,12.3
66,202503120SAS,DAL,W,1W,114.15,116.53,0.574,69.8,8.1,48.7,12.3
67,202503140SAS,CHA,L,1L,114.29,116.48,0.575,69.7,8.2,48.9,12.3
68,202503150SAS,NOP,W,1W,114.6,116.92,0.576,69.5,8.2,48.9,12.3
69,202503170LAL,LAL,L,1L,114.67,116.9,0.576,69.5,8.3,48.8,12.2
70,202503190SAS,NYK,W,1W,114.59,117.03,0.576,69.6,8.2,48.9,12.3
71,202503210SAS,PHI,W,2W,114.77,116.94,0.577,69.4,8.2,48.9,12.3
72,202503230TOR,TOR,W,3W,114.94,116.96,0.578,69.5,8.3,49.0,12.3
73,202503250DET,DET,L,1L,115.08,116.57,0.579,69.5,8.4,49.0,12.3
74,202503270CLE,CLE,L,2L,114.93,116.8,0.577,69.4,8.4,49.0,12.3
75,202503290SAS,BOS,L,3L,114.9,116.85,0.576,69.3,8.4,49.0,12.2
76,202503300SAS,GSW,L,4L,114.97,117.05,0.576,69.3,8.3,48.8,12.1
77,202504010SAS,ORL,L,5L,114.79,117.38,0.576,69.3,8.3,48.8,12.2
78,202504020DEN,DEN,W,1W,114.73,117.45,0.576,69.2,8.3,48.7,12.3
79,202504040SAS,CLE,L,1L,114.66,117.25,0.576,69.1,8.2,48.7,12.2
80,202504060POR,POR,L,2L,114.61,117.18,0.576,69.1,8.3,48.7,12.2
81,202504080LAC,LAC,L,3L,114.47,117.14,0.575,69.0,8.3,48.8,12.2
82,202504090GSW,GSW,W,1W,114.5,117.2,0.576,69.0,8.3,48.7,12.3
83,202504110PHO,PHX,L,1L,114.61,117.24,0.576,68.8,8.2,48.7,12.3
84,202504130SAS,TOR,W,1W,114.41,117.24,0.576,68.9,8.2,48.6,12.3
