game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120MIA,MIA,L,1L,,,,,,,
2,202404140MIA,MIA,L,2L,,,,,,,
3,202410230TOR,CLE,L,3L,106.2,136.3,0.537,69.4,8.0,51.4,16.1
4,202410250TOR,PHI,W,1W,106.2,136.3,0.537,69.4,8.0,51.4,16.1
5,202410260MIN,MIN,L,1L,110.1,121.2,0.567,70.4,9.4,58.7,19.0
6,202410280TOR,DEN,L,2L,107.5,118.6,0.554,70.5,9.3,56.7,18.4
7,202410300CHO,CHA,L,3L,109.05,117.83,0.548,68.2,8.6,55.3,16.6
8,202411010TOR,LAL,L,4L,113.02,121.02,0.566,68.8,8.6,54.6,15.7
9,202411020TOR,SAC,W,1W,114.22,121.85,0.564,68.5,7.8,53.9,14.6
10,202411040DEN,DEN,L,1L,114.47,120.64,0.569,68.4,8.3,53.1,14.6
11,202411060SAC,SAC,L,2L,114.67,120.33,0.565,69.9,8.8,52.5,14.2
12,202411090LAC,LAC,L,3L,114.42,121.2,0.565,68.6,8.6,51.4,13.9
13,202411100LAL,LAL,L,4L,113.56,119.86,0.558,68.3,8.6,51.1,13.3
14,202411120MIL,MIL,L,5L,113.49,121.21,0.559,68.4,8.0,51.4,13.6
15,202411150TOR,DET,L,6L,111.21,119.46,0.549,68.3,8.2,51.6,14.1
16,202411160BOS,BOS,L,7L,109.89,117.82,0.541,67.7,8.1,51.3,13.9
17,202411180TOR,IND,W,1W,111.06,118.64,0.544,67.8,7.8,51.4,13.5
18,202411210TOR,MIN,W,2W,112.02,118.39,0.553,67.1,7.6,51.9,13.9
19,202411240CLE,CLE,L,1L,112.12,117.76,0.557,66.6,7.8,51.9,14.0
20,202411250DET,DET,L,2L,111.79,117.91,0.554,66.2,7.9,52.0,14.0
21,202411270NOP,NOP,W,1W,111.62,117.52,0.549,66.0,7.9,52.2,13.7
22,202411290MIA,MIA,L,1L,111.78,116.05,0.551,66.8,8.0,52.3,13.7
23,202412010TOR,MIA,W,1W,111.91,116.48,0.555,67.4,7.8,52.5,13.9
24,202412030TOR,IND,W,2W,112.19,116.4,0.558,67.2,7.6,52.5,13.9
25,202412050TOR,OKC,L,1L,112.31,115.87,0.562,67.1,7.7,52.6,14.1
26,202412070TOR,DAL,L,2L,111.33,116.31,0.558,67.4,7.6,52.4,14.2
27,202412090TOR,NYK,L,3L,111.53,116.58,0.559,68.2,7.8,52.0,14.1
28,202412120MIA,MIA,L,4L,111.67,116.74,0.558,67.6,7.6,52.2,14.0
29,202412160TOR,CHI,L,5L,111.34,116.6,0.557,67.7,7.6,51.9,13.9
30,202412190TOR,BKN,L,6L,111.36,116.46,0.558,67.5,7.6,51.9,13.9
31,202412220TOR,HOU,L,7L,111.05,116.24,0.556,67.8,7.6,51.4,13.8
32,202412230NYK,NYK,L,8L,110.84,115.98,0.556,68.2,7.6,51.2,13.9
33,202412260MEM,MEM,L,9L,111.16,116.58,0.56,68.2,7.6,51.0,13.9
34,202412290TOR,ATL,L,10L,111.15,117.22,0.56,68.5,7.6,50.6,13.9
35,202412310BOS,BOS,L,11L,110.74,117.45,0.559,68.5,7.6,50.8,14.2
36,202501010TOR,BKN,W,1W,109.67,117.9,0.554,68.5,7.6,50.7,14.3
37,202501030TOR,ORL,L,1L,110.3,117.79,0.558,68.5,7.6,50.8,14.2
38,202501060TOR,MIL,L,2L,110.32,117.89,0.559,68.6,7.6,50.7,14.1
39,202501080NYK,NYK,L,3L,110.09,118.1,0.558,68.6,7.7,50.5,14.1
