game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120LAC,LAC,W,1W,,,,,,,
2,202404140GSW,GSW,L,1L,,,,,,,
3,202410230UTA,MEM,L,2L,119.9,121.8,0.592,52.5,6.8,54.4,14.0
4,202410250UTA,GSW,L,3L,119.9,121.8,0.592,52.5,6.8,54.4,14.0
5,202410280DAL,DAL,L,4L,101.25,121.9,0.504,57.3,7.2,48.6,15.8
6,202410290UTA,SAC,L,5L,101.27,117.67,0.498,61.7,7.2,49.1,14.7
7,202410310UTA,SAS,L,6L,100.33,116.92,0.5,63.4,7.2,48.4,14.8
8,202411020DEN,DEN,L,7L,98.1,115.02,0.497,62.6,6.9,49.9,16.3
9,202411040CHI,CHI,W,1W,98.13,116.38,0.509,64.7,6.9,48.7,17.1
10,202411070MIL,MIL,L,1L,103.14,117.51,0.531,65.9,6.3,50.0,16.2
11,202411090SAS,SAS,W,1W,103.29,118.86,0.538,66.7,6.2,49.8,16.8
12,202411120UTA,PHX,L,1L,103.62,117.37,0.541,66.0,6.9,50.4,16.7
13,202411140UTA,DAL,W,1W,105.22,118.45,0.546,66.5,7.0,50.2,16.2
14,202411160SAC,SAC,L,1L,106.74,118.56,0.552,65.8,7.4,50.8,16.3
15,202411170LAC,LAC,L,2L,108.11,119.3,0.558,63.9,7.7,50.6,16.2
16,202411190LAL,LAL,L,3L,108.35,119.58,0.561,63.7,7.7,50.6,16.3
17,202411210SAS,SAS,L,4L,109.11,119.96,0.564,63.6,7.8,50.9,16.1
18,202411230UTA,NYK,W,1W,109.18,119.81,0.562,62.9,7.5,50.8,15.8
19,202411260UTA,SAS,L,1L,109.84,118.87,0.567,63.3,7.3,51.1,15.8
20,202411270UTA,DEN,L,2L,110.18,119.44,0.57,62.8,7.2,51.1,16.0
21,202411300UTA,DAL,L,3L,110.22,120.11,0.568,63.0,7.3,51.3,16.0
22,202412010UTA,LAL,L,4L,109.54,119.56,0.561,62.8,7.4,51.4,15.8
23,202412030OKC,OKC,L,5L,109.72,119.3,0.564,63.0,7.3,51.4,15.8
24,202412060POR,POR,W,1W,109.81,120.28,0.568,62.6,7.1,51.4,16.3
25,202412080SAC,SAC,L,1L,110.86,119.05,0.573,62.7,7.0,52.0,16.1
26,202412130UTA,PHX,L,2L,110.3,120.07,0.571,62.9,7.0,51.7,16.2
27,202412160LAC,LAC,L,3L,111.28,121.0,0.578,63.2,6.9,51.6,16.1
28,202412190DET,DET,W,1W,110.96,121.71,0.578,63.1,6.9,51.4,16.3
29,202412210BRK,BKN,W,2W,111.22,121.32,0.581,63.0,6.8,51.8,16.5
30,202412230CLE,CLE,L,1L,111.01,120.32,0.58,62.9,7.0,51.6,16.5
31,202412260POR,POR,L,2L,111.19,120.57,0.579,63.2,7.0,51.8,16.4
32,202412280UTA,PHI,L,3L,111.57,120.69,0.58,63.2,7.1,51.7,16.2
33,202412300UTA,DEN,L,4L,111.7,120.62,0.58,63.2,6.9,52.0,16.3
34,202501010NYK,NYK,L,5L,111.95,120.94,0.582,63.2,6.9,51.7,16.2
35,202501040MIA,MIA,W,1W,111.6,120.8,0.579,63.1,6.9,51.6,16.2
36,202501050ORL,ORL,W,2W,112.28,120.12,0.581,63.0,7.0,52.0,16.0
37,202501070UTA,ATL,L,1L,112.16,119.38,0.581,62.7,7.0,52.0,16.1
38,202501090UTA,MIA,L,2L,112.34,119.43,0.581,62.7,7.0,52.0,16.1
39,202501110PHO,PHX,L,3L,111.9,118.95,0.579,62.6,7.1,52.0,16.0
40,202501120UTA,BKN,W,1W,112.03,119.12,0.577,62.6,7.1,52.1,15.9
41,202501150UTA,CHA,L,1L,112.0,118.88,0.577,62.6,7.1,51.9,15.8
42,202501170NOP,NOP,L,2L,112.01,118.84,0.576,62.8,7.0,51.7,15.6
43,202501200NOP,NOP,L,3L,112.14,119.11,0.577,63.0,7.0,51.4,15.6
44,202501220OKC,OKC,L,4L,112.04,118.92,0.575,62.9,7.0,51.6,15.5
45,202501250MEM,MEM,L,5L,112.06,119.0,0.575,62.8,6.9,51.7,15.6
46,202501270UTA,MIL,L,6L,111.87,119.17,0.574,63.0,6.9,51.6,15.6
47,202501280GSW,GSW,L,7L,111.84,119.31,0.573,63.1,6.9,51.6,15.4
48,202501300UTA,MIN,L,8L,111.78,119.34,0.573,63.4,6.9,51.4,15.4
49,202502010UTA,ORL,W,1W,111.9,119.87,0.575,63.2,6.8,51.1,15.4
50,202502030UTA,IND,L,1L,111.93,119.43,0.575,63.2,6.8,51.2,15.4
51,202502050UTA,GSW,W,1W,111.87,119.23,0.574,63.6,6.8,51.4,15.4
52,202502070PHO,PHX,L,1L,112.16,119.31,0.575,63.6,6.7,51.5,15.3
53,202502080LAC,LAC,L,2L,112.3,119.46,0.574,63.5,6.7,51.6,15.2
54,202502100LAL,LAL,L,3L,112.27,119.69,0.575,63.6,6.7,51.6,15.2
55,202502120UTA,LAL,W,1W,112.26,119.89,0.575,63.8,6.7,51.5,15.2
56,202502130UTA,LAC,L,1L,112.58,119.85,0.576,63.8,6.7,51.5,15.2
57,202502210UTA,OKC,L,2L,112.54,119.74,0.578,63.8,6.7,51.5,15.3
58,202502220UTA,HOU,W,1W,112.45,119.93,0.577,63.8,6.7,51.4,15.3
