game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
1,202404120WAS,CHI,L,1L,,,,,,,
2,202404140BOS,BOS,L,2L,,,,,,,
3,202410240WAS,BOS,L,3L,99.5,119.0,0.496,65.9,8.8,44.9,12.7
4,202410260WAS,CLE,L,4L,99.5,119.0,0.496,65.9,8.8,44.9,12.7
5,202410280ATL,ATL,W,1W,105.15,124.0,0.512,66.8,7.2,46.9,12.3
6,202410300WAS,ATL,W,2W,108.33,120.27,0.541,64.0,7.0,48.7,13.3
7,202411020WAS,MIA,L,1L,112.5,118.4,0.572,65.0,7.6,48.4,13.4
8,202411040WAS,GSW,L,2L,109.12,117.74,0.556,64.1,8.4,46.8,12.9
9,202411080MEM,MEM,L,3L,109.07,118.35,0.552,64.9,7.7,46.6,12.2
10,202411100ORL,ORL,L,4L,107.23,118.36,0.545,65.8,8.4,46.4,12.6
11,202411110HOU,HOU,L,5L,106.45,119.83,0.547,65.2,7.9,46.3,13.1
12,202411130SAS,SAS,L,6L,104.78,118.32,0.541,64.4,8.6,45.3,13.5
13,202411150ATL,ATL,L,7L,106.66,119.7,0.551,63.5,8.2,45.9,13.7
14,202411170WAS,DET,L,8L,106.45,119.27,0.547,63.6,8.4,46.1,13.6
15,202411180NYK,NYK,L,9L,106.2,119.62,0.548,62.8,8.2,45.9,13.7
16,202411220WAS,BOS,L,10L,106.62,121.27,0.548,62.1,7.9,46.2,13.4
17,202411240IND,IND,L,11L,105.77,120.22,0.544,61.1,7.8,46.7,13.7
18,202411260WAS,CHI,L,12L,105.83,120.15,0.546,61.5,7.8,46.7,13.8
19,202411270WAS,LAC,L,13L,105.46,119.97,0.544,62.0,7.7,46.7,13.7
20,202411300MIL,MIL,L,14L,104.87,119.99,0.542,61.9,7.8,46.7,13.9
21,202412030CLE,CLE,L,15L,105.42,120.26,0.544,61.7,7.8,47.0,13.7
22,202412050WAS,DAL,L,16L,104.39,120.06,0.54,61.4,7.6,47.3,14.0
23,202412070WAS,DEN,W,1W,104.1,120.74,0.537,61.5,7.7,46.9,13.8
24,202412080WAS,MEM,L,1L,104.8,120.23,0.54,61.9,7.7,47.0,13.8
25,202412130CLE,CLE,L,2L,104.68,120.57,0.538,61.2,7.8,47.3,13.9
26,202412150WAS,BOS,L,3L,104.65,120.28,0.54,61.1,7.8,47.3,14.0
27,202412190WAS,CHA,W,1W,104.34,119.9,0.537,60.8,7.8,47.3,14.0
28,202412210MIL,MIL,L,1L,105.05,119.63,0.541,61.6,7.7,47.4,14.1
29,202412230OKC,OKC,L,2L,104.92,119.37,0.543,61.4,7.7,47.6,14.2
30,202412260WAS,CHA,W,1W,104.75,119.3,0.542,61.7,7.7,47.5,14.3
31,202412280WAS,NYK,L,1L,104.88,118.8,0.542,61.8,7.7,47.5,14.1
32,202412300WAS,NYK,L,2L,105.4,118.97,0.545,61.8,7.7,47.6,14.1
33,202501010WAS,CHI,W,1W,105.43,119.22,0.544,61.9,7.6,47.5,14.0
34,202501030NOP,NOP,L,1L,105.73,118.54,0.546,62.2,7.7,47.6,14.0
35,202501050WAS,NOP,L,2L,106.19,118.98,0.549,62.2,7.6,47.9,14.1
36,202501070WAS,HOU,L,3L,105.98,118.76,0.548,62.3,7.6,47.9,14.1
37,202501080PHI,PHI,L,4L,106.29,119.39,0.548,62.0,7.5,47.8,14.2
