game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent
202410220BOS,2024-10-22T11:30:00Z,BOS,NYK,3,W,3W,147.3,121.6,0.67,68.8,6.7,54.1,3.9,3,L,1L,121.6,147.3,0.641,46.5,2.2,45.9,12.4
202410220LAL,2024-10-22T14:00:00Z,LAL,MIN,3,W,3W,114.7,107.4,0.519,52.4,7.3,49.5,6.2,3,L,2L,107.4,114.7,0.532,48.6,4.2,50.5,14.2
202410230DET,2024-10-23T11:00:00Z,DET,IND,3,L,2L,110.5,116.6,0.543,57.9,6.1,49.4,12.2,3,W,2W,116.6,110.5,0.612,76.2,10.1,50.6,13.8
202410230ATL,2024-10-23T11:30:00Z,ATL,BKN,1,W,1W,115.6,111.8,0.599,64.1,11.6,51.1,13.8,3,L,3L,111.8,115.6,0.569,52.5,7.7,48.9,15.7
202410230TOR,2024-10-23T11:30:00Z,TOR,CLE,3,L,3L,106.2,136.3,0.537,69.4,8.0,51.4,16.1,3,W,1W,136.3,106.2,0.691,56.9,10.0,48.6,11.7
202410230PHI,2024-10-23T11:30:00Z,PHI,MIL,3,L,1L,109.9,125.0,0.496,43.9,4.0,51.6,8.3,2,W,1W,125.0,109.9,0.662,62.8,4.0,48.4,13.0
202410230MIA,2024-10-23T11:30:00Z,MIA,ORL,1,L,1L,100.9,120.7,0.512,75.0,5.2,41.8,10.4,2,W,2W,120.7,100.9,0.549,68.3,8.3,58.2,11.7
202410230NOP,2024-10-23T12:00:00Z,NOP,CHI,3,W,2W,113.8,102.7,0.579,64.4,13.9,47.2,10.1,2,L,2L,102.7,113.8,0.572,61.9,3.7,52.8,17.8
202410230HOU,2024-10-23T12:00:00Z,HOU,CHA,3,L,1L,108.7,113.9,0.47,50.0,8.3,43.4,6.7,3,W,2W,113.9,108.7,0.576,52.6,6.2,56.6,15.1
202410230UTA,2024-10-23T13:00:00Z,UTA,MEM,3,L,2L,119.9,121.8,0.592,52.5,6.8,54.4,14.0,1,W,1W,121.8,119.9,0.6,65.1,6.8,45.6,11.0
202410230POR,2024-10-23T14:00:00Z,POR,GSW,3,L,3L,97.0,130.6,0.494,58.3,9.3,42.4,14.6,2,W,1W,130.6,97.0,0.659,79.2,12.1,57.6,14.5
202410230LAC,2024-10-23T14:00:00Z,LAC,PHX,3,L,3L,101.9,104.6,0.537,64.3,8.1,54.8,17.3,3,W,3W,104.6,101.9,0.624,65.8,10.8,45.2,19.1
202410240WAS,2024-10-24T11:00:00Z,WAS,BOS,3,L,3L,99.5,119.0,0.496,65.9,8.8,44.9,12.7,4,W,4W,147.3,121.6,0.67,68.8,6.7,54.1,3.9
202410240DAL,2024-10-24T11:30:00Z,DAL,SAS,1,W,1W,118.1,107.3,0.535,64.3,8.9,49.0,8.2,3,L,1L,107.3,118.1,0.564,76.9,5.9,51.0,16.4
202410240DEN,2024-10-24T14:00:00Z,DEN,OKC,3,L,1L,86.8,101.7,0.418,82.9,11.0,53.8,13.3,2,W,2W,101.7,86.8,0.48,53.5,9.0,46.2,10.1
